Accession	family	query_name	Resfams_description	Ontology_Level
MB-RF039	CMY-MOX-FOX	gb|CAA63264.1|ARO:3002012|CMY-1	A grouping of related CMY, MOX, FOX betalactamase (class C)	gene
MB-RF101	OXA-cluster8	gb|AGW16411.1|ARO:3001517|OXA-329	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF044	ACT	gb|AEV91214.1|ARO:3001832|ACT-10	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF101	OXA-cluster8	gb|BAO09635.1|ARO:3001557|OXA-371	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF048	CTX-M	gb|AFA51699.1|ARO:3001980|CTX-M-121	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF159	VEB	gb|AAS48620.1|ARO:3002372|VEB-3	VEB beta-lactamases (class a) -- Separated from VEB-PER	gene
MB-RF096	OXA-cluster3	gb|CAD58780.1|ARO:3001794|OXA-45	OXA beta-lactamase (cluster 3), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF097	OXA-cluster4	gb|ACM67635.1|ARO:3001800|OXA-226	OXA beta-lactamase (cluster 4), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF048	CTX-M	gb|AIS67611.1|ARO:3003163|CTX-M-155	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF049	DHA	gb|AIT76106.1|ARO:3002146|DHA-15	DHA beta-lactamase (class c) [ARO:3000068]	gene
MB-RF006	ABCAntibioticEffluxPump	gb|ACB05808.1|ARO:3003109|msrE	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
MB-RF102	OXY	gb|CAI43424.1|ARO:3002415|OXY-6-3	OXY beta-lactamases [ARO:3002388]	gene
MB-RF020	APH3_prime	gb|AAA26699.1|ARO:3002649|APH(3')-Va	aminoglycoside phosphotransferase prime (APH3')	variant
MB-RF003	AAC3-I	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	gb|AGH19769.1|ARO:3003198|rmtH	16S ribosomal RNA methyltransferase [ARO:3000857]	family
MB-RF102	OXY	gb|CAI43422.1|ARO:3002413|OXY-6-1	OXY beta-lactamases [ARO:3002388]	gene
MB-RF121	soxR	gb|AAL19308.1|ARO:3000504|golS	soxR: mutant efflux regulatory protein conferring antibiotic resistance [ARO:3000836]	gene
MB-RF072	macA	gb|BAE78082.1|ARO:3003550|mdtP	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	gene
MB-RF040	CMY	gb|AIT76099.1|ARO:3002125|CMY-114	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF093	OXA	gb|AAQ08905.1|ARO:3001808|OXA-60	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	gene
MB-RF101	OXA-cluster8	gb|CAJ77809.1|ARO:3001650|OXA-90	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF120	SME	gb|AAG29813.1|ARO:3002380|SME-2	SME beta-lactamase (class a) [ARO:3000055]	gene
MB-RF003	AAC3-I	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF102	OXY	gb|AAL79541.1|ARO:3002397|OXY-2-2	OXY beta-lactamases [ARO:3002388]	gene
MB-RF039	CMY-MOX-FOX	gb|ACS44783.1|ARO:3002188|MOX-5	A grouping of related CMY, MOX, FOX betalactamase (class C)	gene
MB-RF127	TEM	gb|AGE11905.1|ARO:3000904|TEM-34	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF101	OXA-cluster8	gb|CAM86994.1|ARO:3001617|OXA-69	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF127	TEM	gb|AAO33760.1|ARO:3000879|TEM-7	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF115	SHV	gb|BAA84973.1|ARO:3001082|SHV-24	SHV related beta-lactamase (class a)	gene
MB-RF094	OXA-cluster1	gb|CCE94500.1|ARO:3001502|OXA-256	OXA beta-lactamase (cluster 1), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF101	OXA-cluster8	gb|AGW16412.1|ARO:3001518|OXA-330	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF040	CMY	gb|ADM21467.1|ARO:3002053|CMY-42	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF004	AAC6-I	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF040	CMY	gb|AFU25635.1|ARO:3002083|CMY-70	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF059	GES	gb|AFK80745.1|ARO:3002350|GES-21	GES beta-lactamase (class a) [ARO:3000066]	variant
MB-RF115	SHV	gb|AAN04883.1|ARO:3001099|SHV-41	SHV related beta-lactamase (class a)	gene
MB-RF101	OXA-cluster8	gb|AHN53381.1|ARO:3001577|OXA-391	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF127	TEM	gb|AAR84298.1|ARO:3000996|TEM-132	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF014	ANT3	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	gene
MB-RF090	NDM-CcrA	gb|AGT37351.1|ARO:3002360|NDM-10	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	family
MB-RF115	SHV	gb|AAN04884.1|ARO:3001100|SHV-42	SHV related beta-lactamase (class a)	gene
MB-RF094	OXA-cluster1	gb|AAK49460.1|ARO:3001429|OXA-35	OXA beta-lactamase (cluster 1), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF115	SHV	gb|AAF64386.1|ARO:3001076|SHV-18	SHV related beta-lactamase (class a)	gene
MB-RF115	SHV	gb|CAJ47134.2|ARO:3001133|SHV-79	SHV related beta-lactamase (class a)	gene
MB-RF127	TEM	gb|CAA71322.1|ARO:3000916|TEM-47	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF127	TEM	gb|CAA46346.1|ARO:3000887|TEM-16	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF160	VIM	gb|AGC50807.1|ARO:3002307|VIM-37	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF044	ACT	gb|AIT76085.1|ARO:3001849|ACT-29	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF042	FOX	gb|CAA71947.1|ARO:3002157|FOX-3	FOX betalactamase (class C) [ARO:3000067]	gene
MB-RF104	PER	gb|ACE77058.1|ARO:3002366|PER-4	PER beta-lactamases (class a) -- Separated from VEB-PER	gene
MB-RF053	GIM	gb|CAF05908.1|ARO:3000845|GIM-1	GIM related beta-lactamase (subclass B1 (metallo-) beta-lactamases)" [ARO:3000845]	gene
MB-RF063	IMP	gb|BAM62793.1|ARO:3002233|IMP-42	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
MB-RF127	TEM	gb|AAK82652.1|ARO:3000965|TEM-102	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF127	TEM	gb|AAB39956.1|ARO:3000979|TEM-116	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF040	CMY	gb|ADK55605.1|ARO:3002066|CMY-55	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF157	vanY	gb|AAA65958.1|ARO:3002955|vanYA	VanY: glycopeptide resistance gene [ARO:3000077]	variant
MB-RF048	CTX-M	gb|AAY84742.1|ARO:3001904|CTX-M-42	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF115	SHV	gb|ACI22621.1|ARO:3001154|SHV-105	SHV related beta-lactamase (class a)	gene
MB-RF040	CMY	gb|AFK73446.1|ARO:3002092|CMY-79	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF040	CMY	gb|ADT91162.1|ARO:3002067|CMY-56	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF101	OXA-cluster8	gb|AJA32744.1|ARO:3003149|OXA-426	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF040	CMY	gb|ADP02979.1|ARO:3002059|CMY-48	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF127	TEM	gb|AAT46413.1|ARO:3000972|TEM-109	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF159	VEB	gb|CAG27800.1|ARO:3003203|TLA-2	VEB beta-lactamases (class a) -- Separated from VEB-PER	gene
MB-RF115	SHV	gb|CAI76927.1|ARO:3001071|SHV-12	SHV related beta-lactamase (class a)	gene
MB-RF093	OXA	gb|AAT01092.1|ARO:3001773|OXA-61	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	gene
MB-RF030	CARB	gb|AAC09012.1|ARO:3002243|CARB-4	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
MB-RF127	TEM	gb|AAC32889.2|ARO:3000912|TEM-43	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF047	PDC	gb|ACQ82813.1|ARO:3002507|PDC-8	PDC betalactamase (class C) [ARO:3000098]	gene
MB-RF058	ErmC	gb|CAB60001.1|ARO:3000326|ErmE	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	variant
MB-RF004	AAC6-I	gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF159	VEB	gb|ABN80430.1|ARO:3002375|VEB-5	VEB beta-lactamases (class a) -- Separated from VEB-PER	gene
MB-RF127	TEM	gb|AAG44570.1|ARO:3000954|TEM-87	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF071	LRA-B	gb|ACH58989.1|ARO:3002488|LRA-9	LRA beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000852]	variant
MB-RF160	VIM	gb|AAZ73123.1|ARO:3002282|VIM-12	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF014	ANT3	gb|AAN34365.1|ARO:3002604|aadA4	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	gene
MB-RF008	adeB	gb|AAC76539.1|ARO:3000796|mdtF	adeB: membrane fusion protein of multidrug efflux complex [ARO:3000775]	gene
MB-RF160	VIM	gb|AFN88953.1|ARO:3002304|VIM-34	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF115	SHV	gb|ABA06586.1|ARO:3001119|SHV-64	SHV related beta-lactamase (class a)	gene
MB-RF065	IND	gb|BAJ05825.1|ARO:3002263|IND-7	IND beta-lactamases (subclass B1 (metallo-) beta-lactamase) [ARO:3000060]	gene
MB-RF115	SHV	gb|AJO16042.1|ARO:3001364|SHV-182	SHV related beta-lactamase (class a)	gene
MB-RF127	TEM	gb|ADR71220.1|ARO:3001045|TEM-183	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF032	Cfr23RibosomalRNAMethyltransferase	gb|BAH45481.1|ARO:3002815|clbB	Cfr 23S ribosomal RNA methyltransferase [ARO:3000202]	family
MB-RF006	ABCAntibioticEffluxPump	gb|CAA45050.1|ARO:3002828|srmB	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
MB-RF048	CTX-M	gb|AEM44652.1|ARO:3001972|CTX-M-112	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF048	CTX-M	gb|AAV97955.1|ARO:3001912|CTX-M-50	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF127	TEM	gb|BAL68178.1|ARO:3001057|TEM-198	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF120	SME	gb|AHV85514.1|ARO:3002383|SME-5	SME beta-lactamase (class a) [ARO:3000055]	gene
MB-RF039	CMY-MOX-FOX	gb|BAB72158.1|ARO:3002020|CMY-9	A grouping of related CMY, MOX, FOX betalactamase (class C)	gene
MB-RF004	AAC6-I	gb|AAX38178.1|ARO:3002634|APH(2'')-Ie	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF145	TetY	gb|CAA42594.1|ARO:3002690|cml	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF005	AAC6-II	gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	Aminoglycoside Acetyltransferase (AAC6-II) [ARO:3001208]	variant
MB-RF152	vanR	gb|AAB05622.1|ARO:3002921|vanRB	"VanR: transcriptional activator regulating VanA, VanH and VanX" [ARO:3000574]	variant
MB-RF124	SubclassB2	gb|CAA40386.1|ARO:3003103|cphA7	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570]	family
MB-RF063	IMP	gb|CAD12765.1|ARO:3002203|IMP-12	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
MB-RF099	OXA-cluster6	gb|AFM55000.1|ARO:3001692|OXA-229	OXA beta-lactamase (cluster 6), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF101	OXA-cluster8	gb|CAK50801.1|ARO:3001646|OXA-98	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF100	OXA-cluster7	gb|AAG35609.2|ARO:3001422|OXA-27	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF115	SHV	gb|ABH04327.1|ARO:3001144|SHV-92	SHV related beta-lactamase (class a)	gene
MB-RF014	ANT3	gb|ACJ47200.1|ARO:3002612|aadA12	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	gene
MB-RF118	OKP-A	gb|ACN65419.1|ARO:3002432|OKP-A-15	variant A of OKP beta-lactamase (class a)	variant
MB-RF023	baeS	gb|BAB38260.1|ARO:3000830|cpxA	baeS: subunit of gene modulating antibiotic efflux [ARO:3000829]	gene
MB-RF085	MexX	gb|CAJ77856.1|ARO:3000777|adeF	mexX: subunit of efflux pump conferring antibiotic resistance [ARO:3001214]	gene
MB-RF127	TEM	gb|AFC75525.1|ARO:3001055|TEM-195	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF004	AAC6-I	gb|BAH66386.1|ARO:3002574|AAC(6')-Iaf	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF109	robA	gb|BAA03674.1|ARO:3001300|myrA	robA: transcriptional activator of AcrAB antibiotic efflux pump [ARO:3000825]	gene
MB-RF006	ABCAntibioticEffluxPump	gb|ABH10964.1|ARO:3002830|vgaALC	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
MB-RF098	OXA-cluster5	gb|AFH36332.1|ARO:3001677|OXA-236	OXA beta-lactamase (cluster 5), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF115	SHV	gb|ACB73258.1|ARO:3001112|SHV-56	SHV related beta-lactamase (class a)	gene
MB-RF067	KPC	gb|ACI95258.1|ARO:3002318|KPC-8	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	gene
MB-RF101	OXA-cluster8	gb|AHL30276.1|ARO:3001562|OXA-376	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF149	vanC	gb|AEP40500.1|ARO:3002912|vanN	VanC: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Ser [ARO:3000368]	variant
MB-RF160	VIM	gb|AFP99885.1|ARO:3002299|VIM-29	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF142	Tetracycline_Resistance_MFS_Efflux_Pump	gb|ACD35503.1|ARO:3000572|tet(42)	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	family
MB-RF142	Tetracycline_Resistance_MFS_Efflux_Pump	gb|AEM62948.1|ARO:3003196|tet(45)	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	family
MB-RF133	TetE	gb|AAA71915.1|ARO:3000173|tet(E)	tetE: tetracycline resistance MFS efflux pump [ARO:3000173]	gene
MB-RF040	CMY	gb|BAF95726.1|ARO:3002050|CMY-39	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF160	VIM	gb|ABW90721.1|ARO:3002287|VIM-17	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF063	IMP	gb|AEU17778.1|ARO:3002224|IMP-33	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
MB-RF063	IMP	gb|ABM67078.1|ARO:3002210|IMP-19	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
MB-RF127	TEM	gb|AAF05612.1|ARO:3000944|TEM-78	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF033	CfxA	gb|AAD23513.1|ARO:3003002|CfxA2	CfxA cephalosporin (class a) [ARO:3001211]	gene
MB-RF048	CTX-M	gb|AAN38836.1|ARO:3001886|CTX-M-24	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF040	CMY	gb|ACA30420.1|ARO:3002036|CMY-25	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF063	IMP	gb|BAQ56016.1|ARO:3003659|IMP-51	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
MB-RF151	vanH	gb|AAA65955.1|ARO:3002942|vanHA	VanH: D-specific alpha-ketoacid dehydrogenase that synthesizes D-lactate [ARO:3000006]	variant
MB-RF049	DHA	gb|AIT76102.1|ARO:3002150|DHA-19	DHA beta-lactamase (class c) [ARO:3000068]	gene
MB-RF059	GES	gb|ADC91899.1|ARO:3002343|GES-14	GES beta-lactamase (class a) [ARO:3000066]	variant
MB-RF010	adeS	gb|ABD30512.1|ARO:3000839|arlS	adeS: gene modulating antibiotic efflux regulating AdeABC [ARO:3000549]	gene
MB-RF023	baeS	gb|ADM92606.1|ARO:3000549|adeS	baeS: subunit of gene modulating antibiotic efflux [ARO:3000829]	gene
MB-RF046	OCH	gb|CAC04522.1|ARO:3002514|OCH-1	OCH betalactamase (class C) [ARO:3000094]	gene
MB-RF095	OXA-cluster2	gb|AGD91915.1|ARO:3001778|OXA-232	OXA beta-lactamase (cluster 2), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF096	OXA-cluster3	gb|AAA83417.1|ARO:3001407|OXA-12	OXA beta-lactamase (cluster 3), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF101	OXA-cluster8	gb|AGW83446.1|ARO:3001535|OXA-348	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF115	SHV	gb|ABA60809.1|ARO:3001141|SHV-89	SHV related beta-lactamase (class a)	gene
MB-RF048	CTX-M	gb|AAK55534.1|ARO:3001881|CTX-M-19	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF101	OXA-cluster8	gb|AEB98921.1|ARO:3001480|OXA-195	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF095	OXA-cluster2	gb|AFC95894.1|ARO:3001814|OXA-199	OXA beta-lactamase (cluster 2), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF048	CTX-M	gb|AAV70602.1|ARO:3001900|CTX-M-38	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF127	TEM	gb|AAQ01671.1|ARO:3000983|TEM-121	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF115	SHV	gb|CAI30650.2|ARO:3001116|SHV-61	SHV related beta-lactamase (class a)	gene
MB-RF048	CTX-M	gb|ABM97538.1|ARO:3001919|CTX-M-58	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF048	CTX-M	gb|ABN48311.1|ARO:3001918|CTX-M-56	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF127	TEM	gb|AAW47922.1|ARO:3001002|TEM-138	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF036	ClassC-AmpC	gb|BAA23130.1|ARO:3002493|SRT-1	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF034	ClassA	gb|AAP93847.1|ARO:3002477|LEN-14	Class A beta-lactamase [ARO:3000078]	family
MB-RF046	OCH	gb|CAC17623.1|ARO:3002516|OCH-3	OCH betalactamase (class C) [ARO:3000094]	gene
MB-RF115	SHV	gb|ABV72593.1|ARO:3001150|SHV-101	SHV related beta-lactamase (class a)	gene
MB-RF102	OXY	gb|AAL17873.1|ARO:3002403|OXY-2-8	OXY beta-lactamases [ARO:3002388]	gene
MB-RF160	VIM	gb|AJP67511.1|ARO:3003179|VIM-43	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	gene
MB-RF059	GES	gb|CBG22732.1|ARO:3002341|GES-12	GES beta-lactamase (class a) [ARO:3000066]	variant
MB-RF040	CMY	gb|AHL39330.1|ARO:3002117|CMY-105	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF004	AAC6-I	gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF115	SHV	gb|AAL68926.1|ARO:3001093|SHV-35	SHV related beta-lactamase (class a)	gene
MB-RF127	TEM	gb|AGK82336.1|ARO:3001383|TEM-206	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF097	OXA-cluster4	gb|CAA71699.2|ARO:3001416|OXA-21	OXA beta-lactamase (cluster 4), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF115	SHV	gb|AEI83429.1|ARO:3001168|SHV-121	SHV related beta-lactamase (class a)	gene
MB-RF116	LEN	gb|AXA30439.1|ARO:3002459|LEN-9	LEN related beta-lactamase (class a)	gene
MB-RF156	vanX	gb|AAA65957.1|ARO:3002949|vanXA	VanX: glycopeptide resistance gene [ARO:3000011]	variant
MB-RF118	OKP-A	gb|CAP12354.2|ARO:3002429|OKP-A-12	variant A of OKP beta-lactamase (class a)	variant
MB-RF127	TEM	gb|AAF66653.1|ARO:3000959|TEM-92	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF040	CMY	gb|AHA80101.1|ARO:3002112|CMY-100	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF027	BlaB	gb|AAK38324.1|ARO:3000840|JOHN-1	Beta-lactamase B (BlaB) (subclass B1 (metallo-) beta-lactamase) [ARO:3000579]	variant
MB-RF059	GES	gb|BAD06399.1|ARO:3002332|GES-3	GES beta-lactamase (class a) [ARO:3000066]	variant
MB-RF045	MIR	gb|AAO42602.1|ARO:3002168|MIR-2	MIR betalactamase (class C) [ARO:3000058]	gene
MB-RF048	CTX-M	gb|ACP18863.1|ARO:3001948|CTX-M-88	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF101	OXA-cluster8	gb|ABW70410.1|ARO:3001644|OXA-113	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF119	OKP-B	gb|CAJ19611.1|ARO:3002436|OKP-B-3	varaint B of OKP related beta-lactamase (class a)	variant
MB-RF154	vanT	gb|ABX54689.1|ARO:3002973|vanTmL	"VanT: membrane bound serine racemase, converting L-serine to D-serine" [ARO:3000372]	variant
MB-RF100	OXA-cluster7	gb|AIY30331.1|ARO:3003160|OXA-422	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF101	OXA-cluster8	gb|ADI58622.1|ARO:3001472|OXA-178	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF124	SubclassB2	gb|CAD69003.1|ARO:3003094|imiH	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570]	family
MB-RF116	LEN	gb|CAP12349.2|ARO:3002468|LEN-21	LEN related beta-lactamase (class a)	gene
MB-RF095	OXA-cluster2	gb|AEP16366.1|ARO:3001784|OXA-181	OXA beta-lactamase (cluster 2), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF044	ACT	gb|AHM76779.1|ARO:3001840|ACT-19	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF115	SHV	gb|AEI83430.1|ARO:3001181|SHV-137	SHV related beta-lactamase (class a)	gene
MB-RF101	OXA-cluster8	gb|ABC26007.1|ARO:3001623|OXA-83	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF152	vanR	gb|AAR84672.1|ARO:3002925|vanRF	"VanR: transcriptional activator regulating VanA, VanH and VanX" [ARO:3000574]	variant
MB-RF044	ACT	gb|AIT76086.1|ARO:3001850|ACT-30	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF115	SHV	gb|AFQ23958.1|ARO:3001191|SHV-152	SHV related beta-lactamase (class a)	gene
