Accession	family	query_name	Resfams_description	Ontology_Level
RF0055	ClassC-AmpC	DLFM01_00086|AB95_PEN_98|gene-2|+|582-1664|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00088|AB95_PEN_94|gene-2|+|523-1677|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00089|AB95_PEN_88|gene-3|+|922-2058|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0102	MFS_1	DLFM01_00115|AB95_DCS_52|gene-2|+|129-1409|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0051	Chlor_Efflux_Pump	DLFM01_00132|AB95_CHL_13|gene-2|-|193-1407|complete	chloramphenicol efflux pump [ARO:3001212]	variant
RF0005	AAC6-Ib	DLFM01_00133|AB95_CHL_21|gene-1|-|1-519|complete	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	variant
RF0050	Chlor_Acetyltrans_CAT	DLFM01_00133|AB95_CHL_21|gene-2|-|661-1293|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	variant
RF0140	efflux_Bcr_CflA	DLFM01_00134|AB95_CHL_20|gene-3|+|865-2058|complete	"TIGR00710 efflux Bcr CflA: drug resistance transporter, Bcr/CflA subfamily" [ARO:3000000]	variant
RF0055	ClassC-AmpC	DLFM01_00146|AB95_CAR_52|gene-1|+|147-1283|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00147|AB95_CAR_62|gene-2|-|355-1491|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00148|AB95_CAR_58|gene-2|-|289-1425|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00152|AB95_CAR_42|gene-4|-|1599-2699|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0038	Beta-lactamase	DLFM01_00173|AB95_AMX_45|gene-2|+|216-782|complete	PF00144.19 Beta-lactamase [ARO:3000001]	family
RF0055	ClassC-AmpC	DLFM01_00175|AB95_AMX_61|gene-2|+|764-1900|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00178|AB95_AMX_59|gene-1|+|272-1426|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00179|AB95_AMX_63|gene-2|+|313-1467|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00179|AB95_AMX_63|gene-3|-|1596-2750|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0079	HTH_AraC	DLFM05_00001|F23_CHL_11|gene-3|-|1298-1636|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0133	TetM-TetW-TetO-TetS	DLFM05_00002|F6_TET_1|gene-3|+|1651-3570|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0046	CblA	DLFM05_00003|F6_PIP_27|gene-3|+|1276-2184|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0046	CblA	DLFM05_00004|F6_CAZ_1|gene-3|+|1330-2238|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0046	CblA	DLFM05_00005|F6_CTX_1|gene-3|-|1200-2108|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0045	CAT	DLFM05_00009|F6_CHL_2|gene-2|+|1348-1971|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0170	TetR_N	DLFM05_00009|F6_CHL_2|gene-5|-|3598-4110|complete	PF00440.18_Bacterial regulatory proteins, tetR family	gene
RF0079	HTH_AraC	DLFM05_00011|Ecoli-LibraryB_TET_7|gene-3|-|1067-1450|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0079	HTH_AraC	DLFM05_00013|Ecoli-LibraryB_TET_1|gene-5|-|1855-2724|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0169	Small_Multi_Drug_Res	DLFM05_00014|Ecoli-LibraryB_PIP_8|gene-5|+|2285-2602|complete	PF00893.14_Small Multidrug Resistance protein	family
RF0055	ClassC-AmpC	DLFM05_00014|Ecoli-LibraryB_PIP_8|gene-8|-|3465-4355|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00018|Ecoli-LibraryB_TZP_8|gene-6|-|1924-3057|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00019|Ecoli-LibraryB_PEN_6|gene-5|+|2815-3948|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00020|Ecoli-LibraryB_CAZ_1|gene-1|+|111-1244|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0102	MFS_1	DLFM05_00021|Ecoli-LibraryB_CHL_4|gene-2|+|659-1786|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0102	MFS_1	DLFM05_00021|Ecoli-LibraryB_CHL_4|gene-5|-|3012-4244|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0079	HTH_AraC	DLFM05_00023|Ecoli-LibraryB_CHL_17|gene-1|+|139-462|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0079	HTH_AraC	DLFM05_00024|Ecoli-LibraryB_CHL_15|gene-1|-|4-387|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0093	MarR_2	DLFM05_00025|Ecoli-LibraryB_CHL_10|gene-5|-|2591-3025|complete	PF12802.2 MarR family [ARO:3000718]	variant
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00026|Ecoli-LibraryB_ATM_1|gene-2|+|161-1294|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0169	Small_Multi_Drug_Res	DLFM05_00026|Ecoli-LibraryB_ATM_1|gene-4|-|1913-2230|complete	PF00893.14_Small Multidrug Resistance protein	family
RF0079	HTH_AraC	DLFM05_00028|Ecoli-LibraryA_TGC_4|gene-2|+|515-838|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0079	HTH_AraC	DLFM05_00029|Ecoli-LibraryA_TGC_1|gene-4|-|2763-3086|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0079	HTH_AraC	DLFM05_00030|Ecoli-LibraryA_TGC_10|gene-3|+|1099-1482|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0091	marA	DLFM05_00031|Ecoli-LibraryA_TET_8|gene-2|+|553-936|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
RF0008	ABC_tran	DLFM05_00032|Ecoli-LibraryA_TET_7|gene-2|-|469-2250|complete	PF00005.22 ABC transporter [ARO:0010001]	gene
RF0008	ABC_tran	DLFM05_00032|Ecoli-LibraryA_TET_7|gene-3|-|2243-4015|complete	PF00005.22 ABC transporter [ARO:0010001]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00037|Ecoli-LibraryA_PIP_1|gene-2|+|478-1611|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00039|Ecoli-LibraryA_PEN_9|gene-7|-|2948-4081|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00042|Ecoli-LibraryA_CAZ_1|gene-1|+|55-1188|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0079	HTH_AraC	DLFM05_00044|Ecoli-LibraryA_CHL_6|gene-2|+|476-799|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0102	MFS_1	DLFM05_00047|Ecoli-LibraryA_CHL_10|gene-4|+|2957-4189|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0038	Beta-lactamase	DLFM05_00048|Ecoli-LibraryA_ATM_1|gene-1|+|54-860|complete	PF00144.19 Beta-lactamase [ARO:3000001]	family
RF0136	TetX	DLFM05_00049|T100-3_TET_12|gene-2|-|588-1754|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0142	MATE_efflux	DLFM05_00050|F23_TET_1|gene-1|-|69-1415|complete	TIGR00797 matE: MATE efflux family protein [ARO:3000112]	family
RF0148	Transpeptidase	DLFM05_00051|T100-1_CAZ_11|gene-2|-|1532-3334|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0102	MFS_1	DLFM05_00054|O5_TET_1|gene-2|+|769-2208|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0148	Transpeptidase	DLFM05_00055|O5_CAZ_4|gene-2|+|287-2062|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0148	Transpeptidase	DLFM05_00057|O5_CAZ_1|gene-2|-|522-2270|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0079	HTH_AraC	DLFM05_00058|F5_TZP_3|gene-1|+|33-794|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0045	CAT	DLFM05_00059|F5_CHL_2|gene-1|-|271-894|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0133	TetM-TetW-TetO-TetS	DLFM05_00060|F3_TET_1|gene-1|+|473-2674|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0045	CAT	DLFM05_00061|F3_CHL_11|gene-4|-|1187-1852|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0133	TetM-TetW-TetO-TetS	DLFM05_00062|T100-1_TET_1|gene-1|+|166-2085|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0148	Transpeptidase	DLFM05_00064|T100-1_TZP_5|gene-1|+|66-1814|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0053	ClassA	DLFM05_00066|337_PEN_1|gene-1|-|390-1307|complete	Class A beta-lactamase [ARO:3000078]	family
RF0125	SubclassB3	DLFM05_00067|337_PEN_16|gene-3|+|1046-1969|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0125	SubclassB3	DLFM05_00068|337_PEN_15|gene-1|+|89-1045|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0040	BJP	DLFM05_00069|337_PEN_14|gene-2|+|712-1602|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0148	Transpeptidase	DLFM05_00070|337_PEN_13|gene-8|+|4244-4666|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0084	L1	DLFM05_00070|337_PEN_13|gene-9|+|4705-5652|complete	L1 beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000582]	gene
RF0040	BJP	DLFM05_00071|337_PEN_11|gene-2|+|464-1354|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0105	MoxA	DLFM05_00072|337_CAZ_1|gene-2|+|703-1620|complete	MoxA beta-lactamase (class a) [ARO:3001215]	gene
RF0102	MFS_1	DLFM05_00073|337_CHL_1|gene-3|+|391-1578|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0102	MFS_1	DLFM05_00074|O3_TET_1|gene-2|+|208-1638|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0148	Transpeptidase	DLFM05_00075|O3_CAZ_2|gene-2|+|301-2049|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0148	Transpeptidase	DLFM05_00076|O3_CAZ_2|gene-2|+|301-2049|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0148	Transpeptidase	DLFM05_00078|O23_CAZ_1|gene-1|-|121-1902|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0045	CAT	DLFM05_00079|O23_CHL_21|gene-3|-|997-1638|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0095	Methyltransf_18	DLFM05_00081|220_PEN_14|gene-2|-|742-1608|complete	PF12847.2 Methyltransferase domain [ARO:3000000]	variant
RF0053	ClassA	DLFM05_00082|238_PEN_3|gene-2|-|446-805|complete	Class A beta-lactamase [ARO:3000078]	family
RF0053	ClassA	DLFM05_00082|238_PEN_3|gene-3|-|777-1223|complete	Class A beta-lactamase [ARO:3000078]	family
RF0133	TetM-TetW-TetO-TetS	DLFM05_00084|341_TET_1|gene-1|+|202-2121|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0102	MFS_1	DLFM05_00086|337_TET_4|gene-1|-|156-1589|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0140	efflux_Bcr_CflA	DLFM05_00087|337_TET_2|gene-1|+|61-1290|complete	"TIGR00710 efflux Bcr CflA: drug resistance transporter, Bcr/CflA subfamily" [ARO:3000000]	variant
RF0053	ClassA	DLFM05_00088|337_PIP_2|gene-1|+|201-1118|complete	Class A beta-lactamase [ARO:3000078]	family
RF0105	MoxA	DLFM05_00089|337_TZP_2|gene-1|-|282-1199|complete	MoxA beta-lactamase (class a) [ARO:3001215]	gene
RF0122	SPM	DLFM05_00090|337_PEN_3|gene-3|+|1205-2056|complete	Sao Paulo metallo-beta-lactamase (SPM-1) (subclass B1 (metallo-) beta-lactamase) [ARO:3000580]	gene
RF0093	MarR_2	DLFM05_00090|337_PEN_3|gene-4|+|2269-2613|complete	PF12802.2 MarR family [ARO:3000718]	variant
RF0125	SubclassB3	DLFM05_00091|337_PEN_34|gene-2|+|562-1008|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0040	BJP	DLFM05_00091|337_PEN_34|gene-3|+|1005-1445|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0125	SubclassB3	DLFM05_00092|337_PEN_30|gene-4|+|3280-3897|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0125	SubclassB3	DLFM05_00093|337_PEN_24|gene-2|+|822-1709|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0136	TetX	DLFM05_00095|220_TET_1|gene-1|-|74-1240|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0136	TetX	DLFM05_00096|242_TET_1|gene-2|+|517-1683|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0136	TetX	DLFM05_00098|242_TGC_2|gene-1|-|209-1369|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0079	HTH_AraC	DLFM05_00099|Ecoli-LibraryA_TGC_6|gene-6|-|2116-2985|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00001|B2_AMX_1|gene-4|-|1238-2371|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00002|B3_AMX_1|gene-2|+|464-1597|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0169	Small_Multi_Drug_Res	DLFM08_00003|B4_AMX_1|gene-1|+|28-345|complete	PF00893.14_Small Multidrug Resistance protein	family
RF0055	ClassC-AmpC	DLFM08_00003|B4_AMX_1|gene-4|-|1293-2111|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0059	CTXM	DLFM08_00008|B4_AMX_6|gene-2|-|1365-2207|complete	CTX-M beta-lactamase (class a) [ARO:3000016]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00016|B4_AMX_14|gene-7|-|3281-4414|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0053	ClassA	DLFM08_00018|B4_AMX_16|gene-2|-|902-1213|complete	Class A beta-lactamase [ARO:3000078]	family
RF0053	ClassA	DLFM08_00018|B4_AMX_16|gene-3|-|1308-1742|complete	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00037|B4_AMX_35|gene-2|+|261-1406|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0126	TEM	DLFM08_00038|B4_AMX_36|gene-1|-|103-963|complete	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0053	ClassA	DLFM08_00045|B7_AMX_6|gene-2|-|427-1281|complete	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00046|B7_AMX_7|gene-5|+|1722-2918|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0119	SHV-LEN	DLFM08_00050|B7_AMX_11|gene-2|-|103-963|complete	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0049	CfxA	DLFM08_00060|B8_AMX_2|gene-4|+|2672-3634|complete	CfxA cephalosporin (class a) [ARO:3001211]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00069|B4_ATM_1|gene-6|-|1954-3087|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00070|B4_ATM_2|gene-3|-|989-2134|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0045	CAT	DLFM08_00078|B2_CHL_6|gene-2|-|329-976|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0039	Beta-lactamase2	DLFM08_00084|B2_CHL_12|gene-2|+|493-1695|complete	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	family
RF0102	MFS_1	DLFM08_00084|B2_CHL_12|gene-5|+|3439-4671|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0079	HTH_AraC	DLFM08_00089|B3_CHL_2|gene-4|-|1716-2003|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0045	CAT	DLFM08_00090|B3_CHL_3|gene-2|-|1402-2004|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0012	Acetyltransf_3	DLFM08_00098|B4_CHL_4|gene-3|-|1019-1738|complete	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	variant
RF0079	HTH_AraC	DLFM08_00098|B4_CHL_4|gene-6|-|3336-3677|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0102	MFS_1	DLFM08_00099|B4_CHL_5|gene-1|-|49-1281|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0079	HTH_AraC	DLFM08_00102|B4_CHL_8|gene-4|-|1057-1398|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0079	HTH_AraC	DLFM08_00112|B4_CHL_18|gene-3|-|1401-1757|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0045	CAT	DLFM08_00117|B5_CHL_3|gene-3|+|1741-2388|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0093	MarR_2	DLFM08_00121|B5_CHL_7|gene-2|-|326-757|complete	PF12802.2 MarR family [ARO:3000718]	variant
RF0045	CAT	DLFM08_00127|B5_CHL_13|gene-1|+|516-968|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0085	Lactamase_B	DLFM08_00131|B5_CHL_17|gene-3|-|937-2109|complete	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	family
RF0091	marA	DLFM08_00135|B6_CHL_1|gene-2|+|95-478|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
RF0079	HTH_AraC	DLFM08_00137|B6_CHL_3|gene-2|+|368-691|complete	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family" [ARO:3000000]	family
RF0102	MFS_1	DLFM08_00138|B7_CHL_1|gene-2|+|514-1746|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0045	CAT	DLFM08_00142|B8_CHL_2|gene-4|-|1139-1795|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0085	Lactamase_B	DLFM08_00145|B8_CHL_5|gene-2|+|565-1746|complete	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	family
RF0045	CAT	DLFM08_00146|B8_CHL_6|gene-2|-|562-1185|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0085	Lactamase_B	DLFM08_00147|B8_CHL_7|gene-2|-|903-2078|complete	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00152|B4_FOX_5|gene-2|+|231-1364|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0093	MarR_2	DLFM08_00153|B4_FOX_6|gene-3|+|1768-2604|complete	PF12802.2 MarR family [ARO:3000718]	variant
RF0148	Transpeptidase	DLFM08_00161|B2_CAZ_1|gene-3|-|1106-2803|complete	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00163|B4_CAZ_2|gene-6|-|1945-3078|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0053	ClassA	DLFM08_00166|B7_CAZ_2|gene-3|+|1093-1905|complete	Class A beta-lactamase [ARO:3000078]	family
