Accession	family	query_name	Resfams_description	Ontology_Level
MB-RF036	ClassC-AmpC	DLFM01_00089|AB95_PEN_88|gene-3|+|922-2058|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF145	TetY	DLFM01_00132|AB95_CHL_13|gene-2|-|193-1407|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF004	AAC6-I	DLFM01_00133|AB95_CHL_21|gene-1|-|1-519|complete	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	variant
MB-RF145	TetY	DLFM01_00134|AB95_CHL_20|gene-3|+|865-2058|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF036	ClassC-AmpC	DLFM01_00146|AB95_CAR_52|gene-1|+|147-1283|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00147|AB95_CAR_62|gene-2|-|355-1491|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00148|AB95_CAR_58|gene-2|-|289-1425|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00152|AB95_CAR_42|gene-4|-|1599-2699|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00175|AB95_AMX_61|gene-2|+|764-1900|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00178|AB95_AMX_59|gene-1|+|272-1426|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00179|AB95_AMX_63|gene-2|+|313-1467|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF036	ClassC-AmpC	DLFM01_00179|AB95_AMX_63|gene-3|-|1596-2750|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF139	TetW	DLFM05_00002|F6_TET_1|gene-3|+|1651-3570|complete	"tetW: tetracycline resistance ribosomal protection protein" [ARO:3000194]	gene
MB-RF031	CblA	DLFM05_00003|F6_PIP_27|gene-3|+|1276-2184|complete	CblA beta-lactamases (class a)	gene
MB-RF031	CblA	DLFM05_00004|F6_CAZ_1|gene-3|+|1330-2238|complete	CblA beta-lactamases (class a)	gene
MB-RF031	CblA	DLFM05_00005|F6_CTX_1|gene-3|-|1200-2108|complete	CblA beta-lactamases (class a)	gene
MB-RF109	robA	DLFM05_00013|Ecoli-LibraryB_TET_1|gene-5|-|1855-2724|complete	robA: transcriptional activator of AcrAB antibiotic efflux pump [ARO:3000825]	gene
MB-RF036	ClassC-AmpC	DLFM05_00014|Ecoli-LibraryB_PIP_8|gene-8|-|3465-4355|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00018|Ecoli-LibraryB_TZP_8|gene-6|-|1924-3057|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00019|Ecoli-LibraryB_PEN_6|gene-5|+|2815-3948|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00020|Ecoli-LibraryB_CAZ_1|gene-1|+|111-1244|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF145	TetY	DLFM05_00021|Ecoli-LibraryB_CHL_4|gene-5|-|3012-4244|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00026|Ecoli-LibraryB_ATM_1|gene-2|+|161-1294|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF106	PvrR	DLFM05_00028|Ecoli-LibraryA_TGC_4|gene-3|-|841-1275|complete	aminoglycoside phenotypic variant regulator [ARO:3003688]	gene
MB-RF106	PvrR	DLFM05_00029|Ecoli-LibraryA_TGC_1|gene-3|+|1174-2760|complete	aminoglycoside phenotypic variant regulator [ARO:3003688]	gene
MB-RF088	msbA	DLFM05_00032|Ecoli-LibraryA_TET_7|gene-2|-|469-2250|complete	msbA: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:3000460]	gene
MB-RF088	msbA	DLFM05_00032|Ecoli-LibraryA_TET_7|gene-3|-|2243-4015|complete	msbA: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:3000460]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00037|Ecoli-LibraryA_PIP_1|gene-2|+|478-1611|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00039|Ecoli-LibraryA_PEN_9|gene-7|-|2948-4081|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00042|Ecoli-LibraryA_CAZ_1|gene-1|+|55-1188|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF106	PvrR	DLFM05_00044|Ecoli-LibraryA_CHL_6|gene-3|-|802-2391|complete	aminoglycoside phenotypic variant regulator [ARO:3003688]	gene
MB-RF145	TetY	DLFM05_00047|Ecoli-LibraryA_CHL_10|gene-4|+|2957-4189|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF144	TetX	DLFM05_00049|T100-3_TET_12|gene-2|-|588-1754|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
MB-RF054	emrB	DLFM05_00054|O5_TET_1|gene-2|+|769-2208|complete	emrB: subunit of efflux pump conferring antibiotic resistance [ARO:3000074]	gene
MB-RF143	Tetracycline_Resistance_Ribosomal_Protection_Protein	DLFM05_00060|F3_TET_1|gene-1|+|473-2674|complete	tetracycline resistance ribosomal protection protein: protect RNA-polymerase from tetracycline inhibition [ARO:0000002]	family
MB-RF140	TetO	DLFM05_00062|T100-1_TET_1|gene-1|+|166-2085|complete	"tetO: tetracycline resistance ribosomal protection protein" [ARO:3000190]	gene
MB-RF034	ClassA	DLFM05_00066|337_PEN_1|gene-1|-|390-1307|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF125	SubclassB3	DLFM05_00067|337_PEN_16|gene-3|+|1046-1969|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF125	SubclassB3	DLFM05_00068|337_PEN_15|gene-1|+|89-1045|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF025	BJP	DLFM05_00069|337_PEN_14|gene-2|+|712-1602|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
MB-RF125	SubclassB3	DLFM05_00070|337_PEN_13|gene-9|+|4705-5652|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF025	BJP	DLFM05_00071|337_PEN_11|gene-2|+|464-1354|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
MB-RF034	ClassA	DLFM05_00072|337_CAZ_1|gene-2|+|703-1620|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF145	TetY	DLFM05_00073|337_CHL_1|gene-3|+|391-1578|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF054	emrB	DLFM05_00074|O3_TET_1|gene-2|+|208-1638|complete	emrB: subunit of efflux pump conferring antibiotic resistance [ARO:3000074]	gene
MB-RF034	ClassA	DLFM05_00082|238_PEN_3|gene-2|-|446-805|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF034	ClassA	DLFM05_00082|238_PEN_3|gene-3|-|777-1223|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF139	TetW	DLFM05_00084|341_TET_1|gene-1|+|202-2121|complete	"tetW: tetracycline resistance ribosomal protection protein" [ARO:3000194]	gene
MB-RF054	emrB	DLFM05_00086|337_TET_4|gene-1|-|156-1589|complete	emrB: subunit of efflux pump conferring antibiotic resistance [ARO:3000074]	gene
MB-RF086	MFSAntibioticEffluxPump	DLFM05_00087|337_TET_2|gene-1|+|61-1290|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF034	ClassA	DLFM05_00088|337_PIP_2|gene-1|+|201-1118|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF034	ClassA	DLFM05_00089|337_TZP_2|gene-1|-|282-1199|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF122	SPM	DLFM05_00090|337_PEN_3|gene-3|+|1205-2056|complete	Sao Paulo metallo-beta-lactamase (SPM-1) (subclass B1 (metallo-) beta-lactamase) [ARO:3000580]	gene
MB-RF125	SubclassB3	DLFM05_00091|337_PEN_34|gene-2|+|562-1008|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF125	SubclassB3	DLFM05_00091|337_PEN_34|gene-3|+|1005-1445|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF125	SubclassB3	DLFM05_00092|337_PEN_30|gene-4|+|3280-3897|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF125	SubclassB3	DLFM05_00093|337_PEN_24|gene-2|+|822-1709|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF144	TetX	DLFM05_00095|220_TET_1|gene-1|-|74-1240|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
MB-RF144	TetX	DLFM05_00096|242_TET_1|gene-2|+|517-1683|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
MB-RF144	TetX	DLFM05_00098|242_TGC_2|gene-1|-|209-1369|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
MB-RF109	robA	DLFM05_00099|Ecoli-LibraryA_TGC_6|gene-6|-|2116-2985|complete	robA: transcriptional activator of AcrAB antibiotic efflux pump [ARO:3000825]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00001|B2_AMX_1|gene-4|-|1238-2371|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00002|B3_AMX_1|gene-2|+|464-1597|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF036	ClassC-AmpC	DLFM08_00003|B4_AMX_1|gene-4|-|1293-2111|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF048	CTX-M	DLFM08_00008|B4_AMX_6|gene-2|-|1365-2207|complete	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00016|B4_AMX_14|gene-7|-|3281-4414|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF034	ClassA	DLFM08_00018|B4_AMX_16|gene-2|-|902-1213|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF034	ClassA	DLFM08_00018|B4_AMX_16|gene-3|-|1308-1742|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF044	ACT	DLFM08_00037|B4_AMX_35|gene-2|+|261-1406|complete	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF127	TEM	DLFM08_00038|B4_AMX_36|gene-1|-|103-963|complete	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF034	ClassA	DLFM08_00045|B7_AMX_6|gene-2|-|427-1281|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00046|B7_AMX_7|gene-5|+|1722-2918|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF115	SHV	DLFM08_00050|B7_AMX_11|gene-2|-|103-963|complete	SHV related beta-lactamase (class a)	gene
MB-RF033	CfxA	DLFM08_00060|B8_AMX_2|gene-4|+|2672-3634|complete	CfxA cephalosporin (class a) [ARO:3001211]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00069|B4_ATM_1|gene-6|-|1954-3087|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF040	CMY	DLFM08_00070|B4_ATM_2|gene-3|-|989-2134|complete	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF145	TetY	DLFM08_00084|B2_CHL_12|gene-5|+|3439-4671|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF106	PvrR	DLFM08_00089|B3_CHL_2|gene-3|+|1072-1713|complete	aminoglycoside phenotypic variant regulator [ARO:3003688]	gene
MB-RF107	ramA	DLFM08_00098|B4_CHL_4|gene-6|-|3336-3677|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
MB-RF145	TetY	DLFM08_00099|B4_CHL_5|gene-1|-|49-1281|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF107	ramA	DLFM08_00102|B4_CHL_8|gene-4|-|1057-1398|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
MB-RF074	marA	DLFM08_00135|B6_CHL_1|gene-2|+|95-478|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
MB-RF145	TetY	DLFM08_00138|B7_CHL_1|gene-2|+|514-1746|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00152|B4_FOX_5|gene-2|+|231-1364|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF074	marA	DLFM08_00153|B4_FOX_6|gene-3|+|1768-2604|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00163|B4_CAZ_2|gene-6|-|1945-3078|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF034	ClassA	DLFM08_00166|B7_CAZ_2|gene-3|+|1093-1905|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	DLFM08_00172|B2_GEN_4|gene-4|-|1548-2291|complete	16S ribosomal RNA methyltransferase [ARO:3000857]	family
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	DLFM08_00181|B7_GEN_1|gene-2|+|78-830|complete	16S ribosomal RNA methyltransferase [ARO:3000857]	family
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	DLFM08_00182|B8_GEN_1|gene-1|-|55-807|complete	16S ribosomal RNA methyltransferase [ARO:3000857]	family
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	DLFM08_00184|B8_GEN_3|gene-3|-|1051-1794|complete	16S ribosomal RNA methyltransferase [ARO:3000857]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00185|B2_PEN_1|gene-4|-|1209-2342|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00186|B3_PEN_1|gene-4|-|1317-2450|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF107	ramA	DLFM08_00187|B3_PEN_2|gene-4|-|945-1286|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
MB-RF060	GMR	DLFM08_00187|B3_PEN_2|gene-5|-|1317-2417|complete	determinant of Gene Modulating Resistance	gene
MB-RF040	CMY	DLFM08_00191|B4_PEN_4|gene-3|+|1364-2509|complete	CMY betalactamase (class C) [ARO:3000069]	gene
MB-RF036	ClassC-AmpC	DLFM08_00194|B4_PEN_7|gene-3|+|1655-2545|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00207|B7_PEN_4|gene-3|-|875-2008|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF115	SHV	DLFM08_00209|B7_PEN_6|gene-3|+|1277-2143|complete	SHV related beta-lactamase (class a)	gene
MB-RF145	TetY	DLFM08_00213|B2_TET_2|gene-2|+|357-1913|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF129	TetA	DLFM08_00215|B2_TET_4|gene-3|+|1408-2682|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
MB-RF129	TetA	DLFM08_00216|B3_TET_1|gene-3|+|1430-2704|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
MB-RF107	ramA	DLFM08_00221|B4_TET_3|gene-2|-|273-647|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
MB-RF060	GMR	DLFM08_00221|B4_TET_3|gene-3|-|647-1714|complete	determinant of Gene Modulating Resistance	gene
MB-RF140	TetO	DLFM08_00222|B4_TET_4|gene-2|-|152-2071|complete	"tetO: tetracycline resistance ribosomal protection protein" [ARO:3000190]	gene
MB-RF139	TetW	DLFM08_00223|B4_TET_5|gene-2|-|485-2404|complete	"tetW: tetracycline resistance ribosomal protection protein" [ARO:3000194]	gene
MB-RF140	TetO	DLFM08_00231|B7_TET_8|gene-1|+|132-2051|complete	"tetO: tetracycline resistance ribosomal protection protein" [ARO:3000190]	gene
MB-RF139	TetW	DLFM08_00232|B7_TET_9|gene-1|+|163-2082|complete	"tetW: tetracycline resistance ribosomal protection protein" [ARO:3000194]	gene
MB-RF137	TetM-TetW-TetO-TetS	DLFM08_00235|B7_TET_12|gene-4|+|2362-4281|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186; ARO:3000194;ARO:3000190;ARO:3000192]	family
MB-RF139	TetW	DLFM08_00256|B8_TET_20|gene-2|-|485-2404|complete	"tetW: tetracycline resistance ribosomal protection protein" [ARO:3000194]	gene
MB-RF012	ANT	DLFM08_00557|B4_TMP_49|gene-5|-|2036-2437|complete	Aminoglycoside Nucleotidyltransferase	family
MB-RF145	TetY	DLFM03_00002|S21_CHL_5|gene-2|-|565-1737|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00006|S21_CHL_3|gene-3|-|1912-3123|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00007|S21_CHL_6|gene-3|-|718-1929|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00010|S21_CHL_8|gene-2|-|168-1373|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF129	TetA	DLFM03_00013|S21_TET_4|gene-2|+|293-1480|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
MB-RF125	SubclassB3	DLFM03_00023|S20_TZP_4|gene-5|-|2392-3276|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00024|S20_CHL_5|gene-3|-|687-1922|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00070|S20_TET_35|gene-4|-|2849-4051|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF125	SubclassB3	DLFM03_00141|S17_PEN_4|gene-4|-|3550-4431|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF003	AAC3-I	DLFM03_00154|S17_GEN_1|gene-3|-|2971-3801|complete	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF054	emrB	DLFM03_00166|S17_TET_4|gene-6|-|2141-3667|complete	emrB: subunit of efflux pump conferring antibiotic resistance [ARO:3000074]	gene
MB-RF006	ABCAntibioticEffluxPump	DLFM03_00170|S17_DCS_125|gene-2|+|416-1108|complete	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00175|S17_CHL_5|gene-2|+|653-1873|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF107	ramA	DLFM03_00194|S16_FOX_3|gene-1|+|77-418|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
MB-RF145	TetY	DLFM03_00208|S16_CHL_10|gene-2|+|566-1741|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF145	TetY	DLFM03_00262|S15_TET_3|gene-2|+|232-1725|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00275|S15_CHL_10|gene-2|-|1150-2361|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF145	TetY	DLFM03_00301|S14_TET_6|gene-2|-|341-2050|complete	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	gene
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00306|S14_CHL_2|gene-3|+|1094-2305|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00310|S14_CHL_12|gene-4|-|1699-2910|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00320|S13_CHL_3|gene-2|+|856-2028|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF006	ABCAntibioticEffluxPump	DLFM03_00332|S13_CHL_1001|gene-6|-|4516-5562|complete	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
MB-RF125	SubclassB3	DLFM03_00404|S12_CAZ_5|gene-2|+|995-1879|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00425|S12_TET_20|gene-2|-|320-1525|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00434|S12_TET_33|gene-2|-|478-1680|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00435|S12_TET_32|gene-2|-|870-2096|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
MB-RF086	MFSAntibioticEffluxPump	DLFM03_00446|S11_CHL_1|gene-2|+|877-2082|complete	major facilitator superfamily (MFS) antibiotic efflux pump	family
