Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM02_00119|F30_PIP_4|gene-3|+|620-1753|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.88	377	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_00129|F30_TET_32|gene-1|+|256-1476|complete	tet(40)	tetracycline efflux MFS transporter Tet(40)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	407	406	100.00	99.75	406	WP_009247026.1	tetracycline efflux MFS transporter Tet(40)	NF000049.1	tetracycline efflux MFS transporter Tet(40)
DLFM02_00168|F30_PEN_53|gene-7|-|3006-4010|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	335	377	88.59	98.80	334	WP_001443153.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_00185|F30_TET_93|gene-2|+|764-2683|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00196|F30_PEN_66|gene-3|-|879-1769|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_00202|F30_PEN_89|gene-3|-|1300-2442|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	381	381	99.74	99.74	380	WP_023310120.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-2	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM02_00214|F29_TET_11|gene-2|+|659-2578|complete	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.59	639	WP_015573056.1	tetracycline resistance ribosomal protection protein Tet(32)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00308|F28_TET_6|gene-2|-|803-1918|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	372	639	56.03	99.16	358	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00340|F26_SXT_46|gene-2|-|514-987|complete	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTP	158	164	95.12	100.00	156	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF	NF000333.1	trimethoprim-resistant dihydrofolate reductase DfrF
DLFM02_00342|F26_ATM_1|gene-4|-|1989-2879|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.32	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_00360|F26_DCS_88|gene-2|+|456-1496|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	347	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_00378|F26_PEN_1|gene-2|+|895-1815|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM02_00388|F26_TET_23|gene-2|-|496-2415|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00485|F26_PIP_16|gene-3|+|1030-1863|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALP	278	296	86.82	100.00	257	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_00507|F26_CHL_9|gene-3|-|1058-1717|complete	catA16	type A-16 chloramphenicol O-acetyltransferase CatQ	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	220	219	100.00	98.63	219	WP_063843221.1	type A-16 chloramphenicol O-acetyltransferase CatQ	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_00511|F26_CHL_28|gene-4|+|1259-1882|complete	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	208	207	100.00	98.07	207	WP_043774378.1	type A-13 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_00521|F24_TGC_7|gene-5|+|2583-3515|complete	aadS	aminoglycoside 6-adenylyltransferase AadS	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	311	287	100.00	100.00	287	WP_003013318.1	aminoglycoside 6-adenylyltransferase AadS	NF033387.1	AadS family aminoglycoside 6-adenylyltransferase
DLFM02_00556|F24_PEN_35|gene-2|-|1728-2618|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_00592|F24_CHL_9|gene-3|+|1477-2100|complete	catP	type A-11 chloramphenicol O-acetyltransferase CatP	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	208	207	100.00	99.52	207	WP_002570989.1	type A-11 chloramphenicol O-acetyltransferase CatP	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_00607|F24_TET_6|gene-2|+|730-2649|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00608|F24_TET_8|gene-2|-|830-2749|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.69	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00694|F24_PEN_39|gene-4|-|2434-3324|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.66	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_00843|F22_TET_24|gene-1|+|37-2010|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	658	641	100.00	100.00	641	WP_002560998.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_00847|F22_TET_6|gene-4|-|1500-3419|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_000691759.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00915|F21_TET_8|gene-1|-|14-1990|complete	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	659	641	100.00	99.38	641	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
DLFM02_00942|F21_CHL_2|gene-1|-|199-822|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_00949|F21_PEN_13|gene-3|+|1102-1788|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	229	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM02_00962|F21_TET_13|gene-4|+|1490-2983|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	498	639	74.49	99.79	476	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_00996|F21_DCS_2|gene-2|+|887-2050|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	388	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_00998|F21_PIP_7|gene-3|-|921-1826|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	302	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM02_01001|F21_DCS_97|gene-1|+|50-1102|complete	vanG	D-alanine--D-serine ligase VanG2	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	351	349	100.00	100.00	349	WP_063856696.1	D-alanine--D-serine ligase VanG2	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01020|F21_GEN_1|gene-3|+|851-1756|complete	aph(2'')-IVa	aminoglycoside O-phosphotransferase APH(2'')-IVa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	302	301	100.00	100.00	301	WP_021401024.1	aminoglycoside O-phosphotransferase APH(2'')-IVa	NF000076.3	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase
DLFM02_01030|F21_GEN_3|gene-2|-|370-906|complete	aac(6')-Im	aminoglycoside N-acetyltransferase AAC(6')-Im	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	BLASTP	179	178	100.00	98.31	178	WP_002592614.1	aminoglycoside N-acetyltransferase AAC(6')-Im	NF000016.1	aminoglycoside N-acetyltransferase AAC(6')-Im
DLFM02_01030|F21_GEN_3|gene-3|-|950-1849|complete	aph(2'')-IIa	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTP	300	299	100.00	97.99	299	WP_057038954.1	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa
DLFM02_01034|F21_TET_5|gene-2|+|1032-2951|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.84	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01036|F21_PIP_6|gene-3|-|1109-1999|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	97.64	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_01037|F21_CHL_3|gene-2|-|400-1023|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_01040|F21_DCS_80|gene-2|-|302-1363|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	354	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01149|F19_CHL_4|gene-2|+|515-1138|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM02_01166|F19_TET_43|gene-2|-|927-2846|complete	tet(32)	tetracycline resistance ribosomal protection protein Tet(32)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	97.65	639	WP_003505402.1	tetracycline resistance ribosomal protection protein Tet(32)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01202|F19_DCS_82|gene-2|-|208-1260|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	351	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01228|F19_GEN_1|gene-4|+|2579-3160|complete	rmtD	RmtD family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	PARTIALP	194	247	78.14	98.96	193	WP_063866469.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD2	NF000007.1	RmtD family 16S rRNA (guanine(1405)-N(7))-methyltransferase
DLFM02_01254|F19_DCS_116|gene-1|-|41-1081|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	347	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01257|F19_CAZ_4|gene-4|-|2482-3372|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	98.99	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_01265|F19_DCS_25|gene-2|-|629-1690|complete	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	HMM	354	NA	NA	NA	NA	NA	NA	NF000091.3	D-alanine--D-serine ligase VanG
DLFM02_01284|F19_PEN_9|gene-4|+|991-2124|complete	blaEC	BlaEC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	378	377	100.00	97.35	377	WP_063860454.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NF000185.2	BlaEC family class C beta-lactamase
DLFM02_01313|F19_PEN_28|gene-4|-|2458-3348|complete	cblA	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	297	296	100.00	99.32	296	WP_005827792.1	CblA family class A beta-lactamase	NF033098.1	CblA family class A beta-lactamase
DLFM02_01322|F19_TET_32|gene-3|+|1496-3415|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01344|F19_TET_11|gene-4|-|1275-3194|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01350|F18_TET_46|gene-3|+|1063-2982|complete	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.22	639	WP_063856405.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01359|F18_TET_16|gene-3|-|1460-3379|complete	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	98.44	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DLFM02_01384|F18_CHL_4|gene-1|+|391-1014|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	208	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
