Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|AAA25717.1|ARO:3002624|ANT(4')-IIa	ant(4')-IIa	aminoglycoside nucleotidyltransferase ANT(4')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTP	252	252	100.00	100.00	252	WP_063840508.1	aminoglycoside nucleotidyltransferase ANT(4')-IIa	NF028535.0	ANT(4')-II family aminoglycoside nucleotidyltransferase
gb|AAA26057.1|ARO:3002693|cmlA1	cmlA1	chloramphenicol efflux MFS transporter CmlA1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	419	419	100.00	100.00	419	WP_032488514.1	chloramphenicol efflux MFS transporter CmlA1	NF000509.1	CmlA family chloramphenicol efflux MFS transporter
gb|AAA26412.1|ARO:3002642|APH(3')-Ib	aph(3')-Ib	aminoglycoside O-phosphotransferase APH(3')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	271	271	100.00	100.00	271	WP_038404948.1	aminoglycoside O-phosphotransferase APH(3')-Ib	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
gb|AAA26548.1|ARO:3002534|AAC(3)-IIb	aac(3)-IIb	aminoglycoside N-acetyltransferase AAC(3)-IIb	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	ALLELEP	269	269	100.00	100.00	269	WP_033147097.1	aminoglycoside N-acetyltransferase AAC(3)-IIb	NF033080.0	AAC(3)-II family aminoglycoside N-acetyltransferase
gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	aac(6')-Ic	aminoglycoside N-acetyltransferase AAC(6')-Ic	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEP	146	146	100.00	100.00	146	WP_033649026.1	aminoglycoside N-acetyltransferase AAC(6')-Ic	NF000021.4	aminoglycoside 6'-N-acetyltransferase
gb|AAA26615.1|ARO:3004457|Staphylococcus	catA	type A-7 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	215	215	100.00	100.00	215	WP_063843211.1	type A-7 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA26652.1|ARO:3002835|lnuA	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTP	161	161	100.00	100.00	161	WP_063851340.1	lincosamide nucleotidyltransferase Lnu(A)	NF000236.1	lincosamide nucleotidyltransferase Lnu(A)
gb|AAA26683.1|ARO:3002840|vatA	vat(A)	streptogramin A O-acetyltransferase Vat(A)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTP	219	219	100.00	100.00	219	WP_032489635.1	streptogramin A O-acetyltransferase Vat(A)	NF000101.1	streptogramin A O-acetyltransferase Vat(A)
gb|AAA26684.1|ARO:3002829|vgaA	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTP	522	522	100.00	100.00	522	WP_032489639.1	ABC-F type ribosomal protection protein Vga(A)	NF000170.1	Vga family ABC-F type ribosomal protection protein
gb|AAA26685.1|ARO:3002542|AAC(3)-VIIIa	aac(3)-VIIIa	aminoglycoside N-acetyltransferase AAC(3)-VIIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEP	286	286	100.00	100.00	286	WP_063856943.1	aminoglycoside N-acetyltransferase AAC(3)-VIIIa	NF033180.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
gb|AAA26699.1|ARO:3002649|APH(3')-Va	aph(3')-Va	aminoglycoside O-phosphotransferase APH(3')-Va	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	268	268	100.00	100.00	268	WP_063842176.1	aminoglycoside O-phosphotransferase APH(3')-Va	NF032897.1	APH(3')-V family aminoglycoside O-phosphotransferase
gb|AAA26742.1|ARO:3001304|ErmS	erm(S)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(S)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	319	319	100.00	100.00	319	WP_063844819.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(S)	NF000024.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(S)
gb|AAA26775.1|ARO:3003564|EXO	bla2a	Exo family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	314	314	100.00	100.00	314	WP_063842239.1	Exo family class A beta-lactamase	NF033099.1	Exo family class A beta-lactamase
gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	erm(O)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(O)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	260	260	100.00	100.00	260	WP_003972831.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(O)	NF000087.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(O)
gb|AAA26832.1|ARO:3002827|tlrC	tlr(C)	ABC-F type ribosomal protection protein Tlr(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	548	548	100.00	100.00	548	WP_063856491.1	ABC-F type ribosomal protection protein Tlr(C)	NF000171.1	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein
gb|AAA27459.1|ARO:3004683|aadS	aadS	aminoglycoside 6-adenylyltransferase AadS	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	287	287	100.00	100.00	287	WP_003013318.1	aminoglycoside 6-adenylyltransferase AadS	NF033387.1	AadS family aminoglycoside 6-adenylyltransferase
gb|AAA27471.1|ARO:3000205|tetX	tet(X)	tetracycline-inactivating monooxygenase Tet(X)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	388	388	100.00	100.00	388	WP_063856436.1	tetracycline-inactivating monooxygenase Tet(X)	NF033111.2	tetracycline-inactivating monooxygenase Tet(X)
gb|AAA50325.1|ARO:3003036|oleB	ole(B)	ABC-F type ribosomal protection protein Ole(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	569	569	100.00	100.00	569	WP_063854494.1	ABC-F type ribosomal protection protein Ole(B)	NF000171.1	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein
gb|AAA65953.1|ARO:3002919|vanRA	vanR	VanA-type vancomycin resistance DNA-binding response regulator VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	231	231	100.00	100.00	231	WP_001280781.1	VanA-type vancomycin resistance DNA-binding response regulator VanR	NF000401.1	VanA-type vancomycin resistance DNA-binding response regulator VanR
gb|AAA65954.1|ARO:3002931|vanSA	vanS	VanA-type vancomycin resistance histidine kinase VanS	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	384	384	100.00	100.00	384	WP_002305818.1	VanA-type vancomycin resistance histidine kinase VanS	NF033091.0	vancomycin resistance histidine kinase VanS
gb|AAA65955.1|ARO:3002942|vanHA	vanH-A	D-lactate dehydrogenase VanH-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	322	322	100.00	100.00	322	WP_001059542.1	D-lactate dehydrogenase VanH-A	NF000371.1	VanH-A/VanH-Pt family D-lactate dehydrogenase
gb|AAA65956.1|ARO:3000010|vanA	vanA	D-alanine--(R)-lactate ligase VanA	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	343	343	100.00	100.00	343	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	NF012217.1	D-alanine--(R)-lactate ligase VanA
gb|AAA65957.1|ARO:3002949|vanXA	vanX-A	D-Ala-D-Ala dipeptidase VanX-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	202	202	100.00	100.00	202	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	NF033115.1	D-Ala-D-Ala dipeptidase VanX
gb|AAA65958.1|ARO:3002955|vanYA	vanY-A	D-Ala-D-Ala carboxypeptidase VanY-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	303	303	100.00	100.00	303	WP_001812592.1	D-Ala-D-Ala carboxypeptidase VanY-A	NF000472.1	VanY-A/VanY-F/VanY-M family D-Ala-D-Ala carboxypeptidase
gb|AAA65959.1|ARO:3002962|vanZA	vanZ-A	glycopeptide resistance protein VanZ-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	161	161	100.00	100.00	161	WP_000516404.1	glycopeptide resistance protein VanZ-A	NF033125.2	glycopeptide resistance protein VanZ-A
gb|AAA71915.1|ARO:3000173|tet(E)	tet(E)	tetracycline efflux MFS transporter Tet(E)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	405	405	100.00	100.00	405	WP_063856076.1	tetracycline efflux MFS transporter Tet(E)	NF012187.0	tetracycline efflux MFS transporter Tet(E)
gb|AAA73865.1|ARO:3002674|Clostridium	catA15	type A-15 chloramphenicol acetyltransferase CatA15	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	219	219	100.00	100.00	219	WP_063843219.1	type A-15 chloramphenicol acetyltransferase CatA15	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA76822.1|ARO:3002654|APH(3')-VIIa	aph(3')-VIIa	aminoglycoside O-phosphotransferase APH(3')-VIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	250	250	100.00	100.00	250	WP_063842175.1	aminoglycoside O-phosphotransferase APH(3')-VIIa	NF033067.1	aminoglycoside O-phosphotransferase APH(3')-VIIa
gb|AAA83417.1|ARO:3001407|OXA-12	blaOXA-12	oxacillin-hydrolyzing class D beta-lactamase OXA-12	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_063861029.1	oxacillin-hydrolyzing class D beta-lactamase OXA-12	NF033702.0	OXA-12 family class D beta-lactamase
gb|AAA85213.1|ARO:3002866|dfrD	dfrD	trimethoprim-resistant dihydrofolate reductase DfrD	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	162	162	100.00	100.00	162	WP_063844481.1	trimethoprim-resistant dihydrofolate reductase DfrD	NF000159.1	trimethoprim-resistant dihydrofolate reductase DfrD
gb|AAA86871.1|ARO:3002841|vatB	vat(B)	streptogramin A O-acetyltransferase Vat(B)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTP	212	212	100.00	100.00	212	WP_047211550.1	streptogramin A O-acetyltransferase Vat(B)	NF000311.1	Vat family streptogramin A O-acetyltransferase
gb|AAA87176.1|ARO:3001066|SHV-7	blaSHV-7	class A extended-spectrum beta-lactamase SHV-7	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286	100.00	100.00	286	WP_020316986.1	class A extended-spectrum beta-lactamase SHV-7	NF000285.3	SHV family class A beta-lactamase
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	aac(6')-Ik	aminoglycoside N-acetyltransferase AAC(6')-Ik	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEP	145	145	100.00	100.00	145	WP_063840323.1	aminoglycoside N-acetyltransferase AAC(6')-Ik	NF000224.3	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	176	154	100.00	100.00	154	WP_010792467.1	aminoglycoside N-acetyltransferase AAC(3)-Ib	NF033083.0	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	aac(6')-Ie	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTP	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000507.1	aminoglycoside N-acetyltransferase AAC(6')-Ie
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NF000508.1	aminoglycoside O-phosphotransferase APH(2'')-Ia
gb|AAA88552.1|ARO:3002541|AAC(3)-VIIa	aac(3)-VIIa	aminoglycoside N-acetyltransferase AAC(3)-VIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	288	288	100.00	100.00	288	WP_063840272.1	aminoglycoside N-acetyltransferase AAC(3)-VIIa	NF033082.0	aminoglycoside 3-N-acetyltransferase
gb|AAA88560.1|ARO:3004699|sta	sta	streptothricin N-acetyltransferase STAT	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	189	189	100.00	100.00	189	WP_063854936.1	streptothricin N-acetyltransferase STAT	NF000487.1	streptothricin N-acetyltransferase STAT
gb|AAA88675.1|ARO:3000498|ErmF	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	266	266	100.00	100.00	266	WP_032488512.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	NF012223.0	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
gb|AAA90937.1|ARO:3004635|AAC(6')-Il	aac(6')-Il	aminoglycoside N-acetyltransferase AAC(6')-Il	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	EXACTP	152	152	100.00	100.00	152	WP_013263788.1	aminoglycoside N-acetyltransferase AAC(6')-Il	NF000158.2	aminoglycoside N-acetyltransferase AAC(6')-Il
gb|AAA93461.1|ARO:3001858|IMI-1	blaIMI-1	carbapenem-hydrolyzing class A beta-lactamase IMI-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	292	292	100.00	100.00	292	WP_053073497.1	carbapenem-hydrolyzing class A beta-lactamase IMI-1	NF000400.2	IMI family carbapenem-hydrolyzing class A beta-lactamase
gb|AAA93528.1|ARO:3001409|OXA-14	blaOXA	OXA-10 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	257	266	96.62	100.00	257	WP_064056056.1	OXA-10 family oxacillin-hydrolyzing class D extended-spectrum beta-lactamase OXA-14	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAA98096.1|ARO:3000595|ErmT	erm(T)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	244	244	100.00	100.00	244	WP_063844825.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	NF000499.1	23S ribosomal RNA methyltransferase Erm
gb|AAA98296.1|ARO:3000250|ErmC	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	244	244	100.00	100.00	244	WP_010889933.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NF012219.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)
gb|AAA98298.1|ARO:3002545|AAC(6')-Ia	aac(6')-Ia	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	185	185	100.00	100.00	185	WP_013136949.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia	NF033078.2	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
gb|AAA98349.1|ARO:3001307|VgbA	vgb(A)	streptogramin B lyase Vgb(A)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTP	299	299	100.00	100.00	299	WP_032489636.1	streptogramin B lyase Vgb(A)	NF000022.1	streptogramin B lyase Vgb(A)
gb|AAA98406.1|ARO:3001404|OXA-9	blaOXA-9	oxacillin-hydrolyzing class D beta-lactamase OXA-9	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9	NF000270.1	class D beta-lactamase
gb|AAA98484.1|ARO:3000596|ErmX	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	284	284	100.00	100.00	284	WP_063844879.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NF000499.1	23S ribosomal RNA methyltransferase Erm
gb|AAA99931.1|ARO:3003060|tsnR	tsnR	23S rRNA (adenine(1067)-N)-methyltransferase TsnR	core	AMR	AMR	THIOSTREPTON	THIOSTREPTON	EXACTP	270	270	100.00	100.00	270	WP_063856492.1	23S rRNA (adenine(1067)-N)-methyltransferase TsnR	NF000477.1	NshR/TsnR family 23S rRNA methyltransferase
gb|AAB03413.1|ARO:3003099|cphA2	cphA2	subclass B2 metallo-beta-lactamase CphA2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	254	254	100.00	100.00	254	WP_063865208.1	subclass B2 metallo-beta-lactamase CphA2	NF000329.2	CphA family subclass B2 metallo-beta-lactamase
gb|AAB05622.1|ARO:3002921|vanRB	vanR	VanB-type vancomycin resistance response regulator transcription factor VanR	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	220	220	100.00	100.00	220	WP_002368697.1	VanB-type vancomycin resistance response regulator transcription factor VanR	NF000402.1	VanB-type vancomycin resistance response regulator transcription factor VanR
