Accession	family	query_name	Resfams_description	Ontology_Level
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00037|Ecoli-LibraryA_PIP_1|gene-2|+|478-1611|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00039|Ecoli-LibraryA_PEN_9|gene-7|-|2948-4081|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00042|Ecoli-LibraryA_CAZ_1|gene-1|+|55-1188|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0136	TetX	DLFM05_00049|T100-3_TET_12|gene-2|-|588-1754|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM05_00059|F5_CHL_2|gene-1|-|271-894|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	gene
RF0133	TetM-TetW-TetO-TetS	DLFM05_00060|F3_TET_1|gene-1|+|473-2674|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0050	Chlor_Acetyltrans_CAT	DLFM05_00061|F3_CHL_11|gene-4|-|1187-1852|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0133	TetM-TetW-TetO-TetS	DLFM05_00062|T100-1_TET_1|gene-1|+|166-2085|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0053	ClassA	DLFM05_00066|337_PEN_1|gene-1|-|390-1307|complete	Class A beta-lactamase [ARO:3000078]	family
RF0125	SubclassB3	DLFM05_00067|337_PEN_16|gene-3|+|1046-1969|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0125	SubclassB3	DLFM05_00068|337_PEN_15|gene-1|+|89-1045|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0040	BJP	DLFM05_00069|337_PEN_14|gene-2|+|712-1602|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0084	L1	DLFM05_00070|337_PEN_13|gene-9|+|4705-5652|complete	L1 beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000582]	gene
RF0040	BJP	DLFM05_00071|337_PEN_11|gene-2|+|464-1354|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0105	MoxA	DLFM05_00072|337_CAZ_1|gene-2|+|703-1620|complete	MoxA beta-lactamase (class a) [ARO:3001215]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM05_00079|O23_CHL_21|gene-3|-|997-1638|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	gene
RF0053	ClassA	DLFM05_00082|238_PEN_3|gene-2|-|446-805|complete	Class A beta-lactamase [ARO:3000078]	family
RF0053	ClassA	DLFM05_00082|238_PEN_3|gene-3|-|777-1223|complete	Class A beta-lactamase [ARO:3000078]	family
RF0133	TetM-TetW-TetO-TetS	DLFM05_00084|341_TET_1|gene-1|+|202-2121|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0053	ClassA	DLFM05_00088|337_PIP_2|gene-1|+|201-1118|complete	Class A beta-lactamase [ARO:3000078]	family
RF0105	MoxA	DLFM05_00089|337_TZP_2|gene-1|-|282-1199|complete	MoxA beta-lactamase (class a) [ARO:3001215]	gene
RF0122	SPM	DLFM05_00090|337_PEN_3|gene-3|+|1205-2056|complete	Sao Paulo metallo-beta-lactamase (SPM-1) (subclass B1 (metallo-) beta-lactamase) [ARO:3000580]	gene
RF0125	SubclassB3	DLFM05_00091|337_PEN_34|gene-2|+|562-1008|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0040	BJP	DLFM05_00091|337_PEN_34|gene-3|+|1005-1445|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0125	SubclassB3	DLFM05_00092|337_PEN_30|gene-4|+|3280-3897|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0125	SubclassB3	DLFM05_00093|337_PEN_24|gene-2|+|822-1709|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0136	TetX	DLFM05_00095|220_TET_1|gene-1|-|74-1240|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0136	TetX	DLFM05_00096|242_TET_1|gene-2|+|517-1683|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0136	TetX	DLFM05_00098|242_TGC_2|gene-1|-|209-1369|complete	tetX: tetracycline inactivation enzyme [ARO:3000205]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00001|B2_AMX_1|gene-4|-|1238-2371|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00002|B3_AMX_1|gene-2|+|464-1597|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0055	ClassC-AmpC	DLFM08_00003|B4_AMX_1|gene-4|-|1293-2111|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0059	CTXM	DLFM08_00008|B4_AMX_6|gene-2|-|1365-2207|complete	CTX-M beta-lactamase (class a) [ARO:3000016]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00016|B4_AMX_14|gene-7|-|3281-4414|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0053	ClassA	DLFM08_00018|B4_AMX_16|gene-2|-|902-1213|complete	Class A beta-lactamase [ARO:3000078]	family
RF0053	ClassA	DLFM08_00018|B4_AMX_16|gene-3|-|1308-1742|complete	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00037|B4_AMX_35|gene-2|+|261-1406|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0126	TEM	DLFM08_00038|B4_AMX_36|gene-1|-|103-963|complete	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0053	ClassA	DLFM08_00045|B7_AMX_6|gene-2|-|427-1281|complete	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00046|B7_AMX_7|gene-5|+|1722-2918|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0119	SHV-LEN	DLFM08_00050|B7_AMX_11|gene-2|-|103-963|complete	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0049	CfxA	DLFM08_00060|B8_AMX_2|gene-4|+|2672-3634|complete	CfxA cephalosporin (class a) [ARO:3001211]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00069|B4_ATM_1|gene-6|-|1954-3087|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00070|B4_ATM_2|gene-3|-|989-2134|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00078|B2_CHL_6|gene-2|-|329-976|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00090|B3_CHL_3|gene-2|-|1402-2004|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00117|B5_CHL_3|gene-3|+|1741-2388|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00127|B5_CHL_13|gene-1|+|516-968|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0091	marA	DLFM08_00135|B6_CHL_1|gene-2|+|95-478|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00142|B8_CHL_2|gene-4|-|1139-1795|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM08_00146|B8_CHL_6|gene-2|-|562-1185|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00152|B4_FOX_5|gene-2|+|231-1364|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0091	marA	DLFM08_00153|B4_FOX_6|gene-3|+|1768-2604|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00163|B4_CAZ_2|gene-6|-|1945-3078|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0053	ClassA	DLFM08_00166|B7_CAZ_2|gene-3|+|1093-1905|complete	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00185|B2_PEN_1|gene-4|-|1209-2342|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00186|B3_PEN_1|gene-4|-|1317-2450|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00191|B4_PEN_4|gene-3|+|1364-2509|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0055	ClassC-AmpC	DLFM08_00194|B4_PEN_7|gene-3|+|1655-2545|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM08_00207|B7_PEN_4|gene-3|-|875-2008|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0119	SHV-LEN	DLFM08_00209|B7_PEN_6|gene-3|+|1277-2143|complete	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0127	TetA	DLFM08_00215|B2_TET_4|gene-3|+|1408-2682|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0127	TetA	DLFM08_00216|B3_TET_1|gene-3|+|1430-2704|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0114	ramA	DLFM08_00221|B4_TET_3|gene-2|-|273-647|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
RF0133	TetM-TetW-TetO-TetS	DLFM08_00222|B4_TET_4|gene-2|-|152-2071|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0133	TetM-TetW-TetO-TetS	DLFM08_00223|B4_TET_5|gene-2|-|485-2404|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0133	TetM-TetW-TetO-TetS	DLFM08_00231|B7_TET_8|gene-1|+|132-2051|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0133	TetM-TetW-TetO-TetS	DLFM08_00232|B7_TET_9|gene-1|+|163-2082|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0133	TetM-TetW-TetO-TetS	DLFM08_00235|B7_TET_12|gene-4|+|2362-4281|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0133	TetM-TetW-TetO-TetS	DLFM08_00256|B8_TET_20|gene-2|-|485-2404|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0051	Chlor_Efflux_Pump	DLFM03_00002|S21_CHL_5|gene-2|-|565-1737|complete	chloramphenicol efflux pump [ARO:3001212]	family
RF0127	TetA	DLFM03_00013|S21_TET_4|gene-2|+|293-1480|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0040	BJP	DLFM03_00023|S20_TZP_4|gene-5|-|2392-3276|complete	BJP beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000856]	gene
RF0084	L1	DLFM03_00141|S17_PEN_4|gene-4|-|3550-4431|complete	L1 beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000582]	gene
RF0002	AAC3	DLFM03_00154|S17_GEN_1|gene-3|-|2971-3801|complete	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0114	ramA	DLFM03_00194|S16_FOX_3|gene-1|+|77-418|complete	ramA: gene modulating antibiotic efflux [ARO:3000823]	gene
RF0125	SubclassB3	DLFM03_00404|S12_CAZ_5|gene-2|+|995-1879|complete	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	family
RF0054	ClassB	DLFM03_00449|S11_CAZ_9|gene-2|-|503-1564|complete	Class B beta-lactamase [ARO:3000004]	family
RF0003	AAC3-I	DLFM03_00482|S10_GEN_12|gene-1|+|110-586|complete	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0044	CARB-PSE	DLFM03_00544|S10_PEN_1|gene-3|-|1007-1879|complete	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
RF0054	ClassB	DLFM03_00545|S10_CAZ_14|gene-4|-|1946-2986|complete	Class B beta-lactamase [ARO:3000004]	family
RF0053	ClassA	DLFM03_00597|S09_ATM_6|gene-3|+|886-1869|complete	Class A beta-lactamase [ARO:3000078]	family
RF0056	ClassD	DLFM03_00663|S08_ATM_18|gene-5|+|3835-4650|complete	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0055	ClassC-AmpC	DLFM03_00756|S07_PEN_68|gene-3|+|876-2030|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0084	L1	DLFM03_00758|S07_CAZ_13|gene-4|-|2860-3774|complete	L1 beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000582]	gene
RF0055	ClassC-AmpC	DLFM03_00794|S06_CTX_1|gene-2|-|1276-2451|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM03_00798|S06_PEN_19|gene-1|+|49-1224|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0056	ClassD	DLFM03_00834|S06_ATM_21|gene-3|-|2934-3806|complete	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0053	ClassA	DLFM03_00941|S05_CAZ_17|gene-2|+|1186-2067|complete	Class A beta-lactamase [ARO:3000078]	family
RF0037	BCII	DLFM03_00949|S04_CAZ_14|gene-4|-|1607-2392|complete	Bacillus cereus beta-lactamase II (subclass B1 (metallo-) beta-lactamase) [ARO:3000577]	gene
RF0053	ClassA	DLFM03_00985|S04_FEP_1|gene-2|-|1040-2005|complete	Class A beta-lactamase [ARO:3000078]	family
RF0134	tet_MFS_efflux	DLFM03_01019|S21_TET_5|gene-1|-|10-1269|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	family
RF0056	ClassD	DLFM03_01021|S21_PEN_2|gene-2|+|451-1176|complete	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0127	TetA	DLFM03_01060|S20_TGC_2|gene-2|-|334-1533|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0134	tet_MFS_efflux	DLFM03_01061|S20_TGC_1|gene-2|-|569-2086|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
RF0127	TetA	DLFM03_01069|S20_TET_7|gene-1|-|126-1301|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0134	tet_MFS_efflux	DLFM03_01070|S20_TET_8|gene-2|-|610-2127|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
RF0134	tet_MFS_efflux	DLFM03_01080|S20_TET_10|gene-2|+|208-1401|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
RF0053	ClassA	DLFM03_01082|S20_PEN_42|gene-2|+|254-1261|complete	Class A beta-lactamase [ARO:3000078]	family
RF0161	VEB-PER	DLFM03_01099|S20_PEN_44|gene-2|+|399-1289|complete	VEB and PER beta-lactamases (class a) [ARO:3000043;ARO:3000056]	family
-	RF0167	DLFM03_01132|S20_TET_12|gene-3|+|690-1847|complete	Legionella_TE_Inactivator	family
RF0053	ClassA	DLFM03_01156|S20_PEN_27|gene-1|-|12-1121|complete	Class A beta-lactamase [ARO:3000078]	family
RF0081	IND	DLFM03_01160|S20_CTX_1|gene-4|+|4657-5385|complete	IND beta-lactamases (subclass B1 (metallo-) beta-lactamase) [ARO:3000060]	gene
RF0002	AAC3	DLFM03_01174|S20_GEN_3|gene-3|+|581-1375|complete	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0134	tet_MFS_efflux	DLFM03_01187|S20_TET_28|gene-5|-|1668-2951|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
RF0134	tet_MFS_efflux	DLFM03_01188|S20_TET_21|gene-2|-|233-1444|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
RF0134	tet_MFS_efflux	DLFM03_01190|S20_TET_24|gene-2|-|986-2233|complete	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	gene
