Accession	family	query_name	Resfams_description
MB-RF036	ClassC-AmpC	1001048721|WP_061193431.1|1|1|blaPDC-298|blaPDC|hydrolase|class_C_beta-lactamase_PDC-298	Class C beta-lactamases [ARO:3000076;ARO:3000019]	575.7
MB-RF047	PDC	1001056857|WP_061196139.1|1|1|blaPDC-97|blaPDC|hydrolase|class_C_beta-lactamase_PDC-97	PDC betalactamase (class C) [ARO:3000098]	874.8
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001056857|WP_061196139.1|1|1|blaPDC-97|blaPDC|hydrolase|class_C_beta-lactamase_PDC-97	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	604.0
MB-RF036	ClassC-AmpC	1001056857|WP_061196139.1|1|1|blaPDC-97|blaPDC|hydrolase|class_C_beta-lactamase_PDC-97	Class C beta-lactamases [ARO:3000076;ARO:3000019]	578.6
MB-RF047	PDC	1001067679|WP_061199990.1|1|1|blaPDC-184|blaPDC|hydrolase|class_C_beta-lactamase_PDC-184	PDC betalactamase (class C) [ARO:3000098]	871.6
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001067679|WP_061199990.1|1|1|blaPDC-184|blaPDC|hydrolase|class_C_beta-lactamase_PDC-184	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	607.9
MB-RF036	ClassC-AmpC	1001067679|WP_061199990.1|1|1|blaPDC-184|blaPDC|hydrolase|class_C_beta-lactamase_PDC-184	Class C beta-lactamases [ARO:3000076;ARO:3000019]	583.4
MB-RF048	CTX-M	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	CTX-M beta-lactamase (class a) [ARO:3000016]	583.6
MB-RF034	ClassA	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	Class A beta-lactamase [ARO:3000078]	385.4
MB-RF040	CMY	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	CMY betalactamase (class C) [ARO:3000069]	845.1
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	685.9
MB-RF036	ClassC-AmpC	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	Class C beta-lactamases [ARO:3000076;ARO:3000019]	654.5
MB-RF127	TEM	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	TEM beta-lactamase (class a) [ARO:3000014]	671.5
MB-RF034	ClassA	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	Class A beta-lactamase [ARO:3000078]	470.4
MB-RF034	ClassA	1011934720|WP_062743204.1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	Class A beta-lactamase [ARO:3000078]	328.6
MB-RF049	DHA	1011965783|WP_062771895.1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	DHA beta-lactamase (class c) [ARO:3000068]	890.1
MB-RF036	ClassC-AmpC	1011965783|WP_062771895.1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	Class C beta-lactamases [ARO:3000076;ARO:3000019]	565.1
MB-RF036	ClassC-AmpC	1016519580|WP_063099318.1|1|1|blaADC-151|blaADC|hydrolase|class_C_beta-lactamase_ADC-151	Class C beta-lactamases [ARO:3000076;ARO:3000019]	566.4
MB-RF095	OXA-cluster2	1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_like|hydrolase|OXA-48_family_class_D_extended-spectrum_beta-lactamase_OXA-163	OXA beta-lactamase (cluster 2), part of ClassD beta-lactamase [ARO:3000017]	569.7
MB-RF037	ClassD	1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_like|hydrolase|OXA-48_family_class_D_extended-spectrum_beta-lactamase_OXA-163	Class D beta-lactamases [ARO:3000075;ARO:3000017]	349.2
MB-RF093	OXA	1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_like|hydrolase|OXA-48_family_class_D_extended-spectrum_beta-lactamase_OXA-163	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	345.9
MB-RF044	ACT	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	ACT betalactamase (class C) [ARO:3000072]	878.6
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	665.2
MB-RF036	ClassC-AmpC	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	Class C beta-lactamases [ARO:3000076;ARO:3000019]	637.2
MB-RF044	ACT	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	ACT betalactamase (class C) [ARO:3000072]	876.9
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	665.2
MB-RF036	ClassC-AmpC	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	Class C beta-lactamases [ARO:3000076;ARO:3000019]	637.2
MB-RF116	LEN	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	LEN related beta-lactamase (class a)	663.5
MB-RF114	SHV-LEN	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	625.9
MB-RF113	SHV-LEN-OKP	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	623.0
MB-RF034	ClassA	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	Class A beta-lactamase [ARO:3000078]	435.3
MB-RF040	CMY	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	CMY betalactamase (class C) [ARO:3000069]	714.1
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	642.9
MB-RF036	ClassC-AmpC	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	Class C beta-lactamases [ARO:3000076;ARO:3000019]	629.9
MB-RF045	MIR	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	MIR betalactamase (class C) [ARO:3000058]	906.1
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	652.9
MB-RF036	ClassC-AmpC	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	631.5
MB-RF085	MexX	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	mexX: subunit of efflux pump conferring antibiotic resistance [ARO:3001214]	1280.6
MB-RF108	RNDefflux	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	587.0
MB-RF072	macA	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	573.9
MB-RF006	ABCAntibioticEffluxPump	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	467.5
MB-RF086	MFSAntibioticEffluxPump	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	major facilitator superfamily (MFS) antibiotic efflux pump	423.8
MB-RF040	CMY	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	CMY betalactamase (class C) [ARO:3000069]	845.5
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	683.9
MB-RF036	ClassC-AmpC	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	Class C beta-lactamases [ARO:3000076;ARO:3000019]	651.7
MB-RF096	OXA-cluster3	1025836204|WP_063569909.1|1|1|blaOXA-258|blaOXA-PR|hydrolase|class_D_beta-lactamase_OXA-258	OXA beta-lactamase (cluster 3), part of ClassD beta-lactamase [ARO:3000017]	391.8
MB-RF037	ClassD	1025836204|WP_063569909.1|1|1|blaOXA-258|blaOXA-PR|hydrolase|class_D_beta-lactamase_OXA-258	Class D beta-lactamases [ARO:3000075;ARO:3000017]	251.3
MB-RF093	OXA	1025836204|WP_063569909.1|1|1|blaOXA-258|blaOXA-PR|hydrolase|class_D_beta-lactamase_OXA-258	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	231.7
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	625.3
MB-RF036	ClassC-AmpC	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	622.9
MB-RF004	AAC6-I	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	260.2
MB-RF011	Aminoglycoside	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	Determinant of Aminoglycoside Resistance	135.0
MB-RF058	ErmC	1027912433|WP_063796790.1|1|1|erm(Z)|erm(Z)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	258.6
MB-RF055	Erm23SRibosomalRNAMethyltransferase	1027912433|WP_063796790.1|1|1|erm(Z)|erm(Z)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	256.5
MB-RF004	AAC6-I	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	276.2
MB-RF011	Aminoglycoside	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Determinant of Aminoglycoside Resistance	162.0
MB-RF002	AAC3	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	91.6
MB-RF003	AAC3-I	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	91.6
MB-RF004	AAC6-I	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	276.2
MB-RF011	Aminoglycoside	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Determinant of Aminoglycoside Resistance	162.0
MB-RF002	AAC3	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	91.6
MB-RF003	AAC3-I	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	91.6
MB-RF004	AAC6-I	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	300.1
MB-RF011	Aminoglycoside	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Determinant of Aminoglycoside Resistance	149.6
MB-RF004	AAC6-I	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	300.1
MB-RF011	Aminoglycoside	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Determinant of Aminoglycoside Resistance	149.6
MB-RF011	Aminoglycoside	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Determinant of Aminoglycoside Resistance	553.9
MB-RF014	ANT3	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	503.3
MB-RF012	ANT	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase	477.8
MB-RF004	AAC6-I	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	265.1
MB-RF011	Aminoglycoside	1028078994|WP_063839875.1|2|2|aac(6')-Ib|aac(6')-Ib|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Determinant of Aminoglycoside Resistance	553.9
MB-RF014	ANT3	1028078994|WP_063839875.1|2|2|aac(6')-Ib|aac(6')-Ib|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	503.3
MB-RF012	ANT	1028078994|WP_063839875.1|2|2|aac(6')-Ib|aac(6')-Ib|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase	477.8
MB-RF004	AAC6-I	1028078994|WP_063839875.1|2|2|aac(6')-Ib|aac(6')-Ib|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	265.1
MB-RF036	ClassC-AmpC	1028078996|WP_063839877.1|1|2|blaOXA-PR|blaOXA-PR|hydrolase|bifunctional_class_C_beta-lactamase/class_D_beta-lactamase_fusion_protein_LRA-13	Class C beta-lactamases [ARO:3000076;ARO:3000019]	510.7
MB-RF036	ClassC-AmpC	1028078996|WP_063839877.1|2|2|blaLRA-13|blaLRA-13|hydrolase|bifunctional_class_C_beta-lactamase/class_D_beta-lactamase_fusion_protein_LRA-13	Class C beta-lactamases [ARO:3000076;ARO:3000019]	510.7
MB-RF011	Aminoglycoside	1028078997|WP_063839878.1|1|2|ant(3'')-Ih|ant(3'')-Ih|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Determinant of Aminoglycoside Resistance	601.6
MB-RF014	ANT3	1028078997|WP_063839878.1|1|2|ant(3'')-Ih|ant(3'')-Ih|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	524.3
MB-RF012	ANT	1028078997|WP_063839878.1|1|2|ant(3'')-Ih|ant(3'')-Ih|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Nucleotidyltransferase	507.6
MB-RF004	AAC6-I	1028078997|WP_063839878.1|1|2|ant(3'')-Ih|ant(3'')-Ih|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	266.9
MB-RF011	Aminoglycoside	1028078997|WP_063839878.1|2|2|aac(6')-IId|aac(6')-IId|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Determinant of Aminoglycoside Resistance	601.6
MB-RF014	ANT3	1028078997|WP_063839878.1|2|2|aac(6')-IId|aac(6')-IId|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	524.3
MB-RF012	ANT	1028078997|WP_063839878.1|2|2|aac(6')-IId|aac(6')-IId|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Nucleotidyltransferase	507.6
MB-RF004	AAC6-I	1028078997|WP_063839878.1|2|2|aac(6')-IId|aac(6')-IId|acetyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ih/aminoglycoside_N-acetyltransferase_AAC(6')-Iid	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	266.9
MB-RF024	BCII	1028078998|WP_063839879.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	Bacillus cereus beta-lactamase II (subclass B1 (metallo-) beta-lactamase) [ARO:3000577]	456.5
MB-RF035	ClassB	1028078998|WP_063839879.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	Class B beta-lactamase [ARO:3000004]	289.0
MB-RF123	SubclassB1	1028078998|WP_063839879.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	280.9
MB-RF024	BCII	1028078999|WP_063839880.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	Bacillus cereus beta-lactamase II (subclass B1 (metallo-) beta-lactamase) [ARO:3000577]	454.2
MB-RF035	ClassB	1028078999|WP_063839880.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	Class B beta-lactamase [ARO:3000004]	284.3
MB-RF123	SubclassB1	1028078999|WP_063839880.1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	274.4
MB-RF002	AAC3	1028080873|WP_063840256.1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	108.9
MB-RF003	AAC3-I	1028080873|WP_063840256.1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	108.9
