Accession	family	query_name	Resfams_description
RF0039	Beta-lactamase2	gb|AAF61417.1|ARO:3002244|CARB-5	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	123.4
RF0038	Beta-lactamase	gb|AAF61417.1|ARO:3002244|CARB-5	PF00144.19 Beta-lactamase [ARO:3000001]	107.8
RF0067	Erm23S_rRNA_methyltrans	gb|AAP74657.1|ARO:3000600|Erm(34)	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	302.1
RF0126	TEM	gb|AAT45742.1|ARO:3000988|TEM-126	TEM beta-lactamase (class a) [ARO:3000014]	668.5
RF0053	ClassA	gb|AAT45742.1|ARO:3000988|TEM-126	Class A beta-lactamase [ARO:3000078]	425.9
RF0039	Beta-lactamase2	gb|AAT45742.1|ARO:3000988|TEM-126	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	137.9
RF0038	Beta-lactamase	gb|AAT45742.1|ARO:3000988|TEM-126	PF00144.19 Beta-lactamase [ARO:3000001]	104.3
RF0078	GOB	gb|ACH58990.1|ARO:3002511|LRA-12	GOB beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000850]	496.5
RF0125	SubclassB3	gb|ACH58990.1|ARO:3002511|LRA-12	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	352.6
RF0054	ClassB	gb|ACH58990.1|ARO:3002511|LRA-12	Class B beta-lactamase [ARO:3000004]	177.6
RF0085	Lactamase_B	gb|ACH58990.1|ARO:3002511|LRA-12	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	48.5
RF0126	TEM	gb|AAF19151.1|ARO:3000938|TEM-72	TEM beta-lactamase (class a) [ARO:3000014]	667.3
RF0053	ClassA	gb|AAF19151.1|ARO:3000938|TEM-72	Class A beta-lactamase [ARO:3000078]	426.5
RF0039	Beta-lactamase2	gb|AAF19151.1|ARO:3000938|TEM-72	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	137.9
RF0038	Beta-lactamase	gb|AAF19151.1|ARO:3000938|TEM-72	PF00144.19 Beta-lactamase [ARO:3000001]	106.1
RF0126	TEM	gb|AAD45935.1|ARO:3000928|TEM-59	TEM beta-lactamase (class a) [ARO:3000014]	649.3
RF0053	ClassA	gb|AAD45935.1|ARO:3000928|TEM-59	Class A beta-lactamase [ARO:3000078]	410.9
RF0039	Beta-lactamase2	gb|AAD45935.1|ARO:3000928|TEM-59	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	131.2
RF0038	Beta-lactamase	gb|AAD45935.1|ARO:3000928|TEM-59	PF00144.19 Beta-lactamase [ARO:3000001]	101.4
RF0083	KPC	gb|ACS35345.1|ARO:3002320|KPC-10	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	684.4
RF0053	ClassA	gb|ACS35345.1|ARO:3002320|KPC-10	Class A beta-lactamase [ARO:3000078]	369.2
RF0039	Beta-lactamase2	gb|ACS35345.1|ARO:3002320|KPC-10	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	135.4
RF0038	Beta-lactamase	gb|ACS35345.1|ARO:3002320|KPC-10	PF00144.19 Beta-lactamase [ARO:3000001]	104.4
RF0056	ClassD	gb|AEV91551.1|ARO:3001711|OXA-212	Class D beta-lactamases [ARO:3000075;ARO:3000017]	349.6
RF0148	Transpeptidase	gb|AEV91551.1|ARO:3001711|OXA-212	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	115.6
RF0080	IMP	gb|CAB94707.1|ARO:3002193|IMP-2	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	537.8
RF0123	SubclassB1	gb|CAB94707.1|ARO:3002193|IMP-2	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	308.3
RF0054	ClassB	gb|CAB94707.1|ARO:3002193|IMP-2	Class B beta-lactamase [ARO:3000004]	259.8
RF0124	SubclassB2	gb|CAB94707.1|ARO:3002193|IMP-2	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570]	63.8
RF0085	Lactamase_B	gb|CAB94707.1|ARO:3002193|IMP-2	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	53.5
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|CAA63264.1|ARO:3002012|CMY-1	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	649.2
RF0055	ClassC-AmpC	gb|CAA63264.1|ARO:3002012|CMY-1	Class C beta-lactamases [ARO:3000076;ARO:3000019]	597.2
RF0038	Beta-lactamase	gb|CAA63264.1|ARO:3002012|CMY-1	PF00144.19 Beta-lactamase [ARO:3000001]	264.4
RF0056	ClassD	gb|AGW16411.1|ARO:3001517|OXA-329	Class D beta-lactamases [ARO:3000075;ARO:3000017]	361.4
RF0148	Transpeptidase	gb|AGW16411.1|ARO:3001517|OXA-329	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	107.0
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AEV91214.1|ARO:3001832|ACT-10	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	715.3
RF0055	ClassC-AmpC	gb|AEV91214.1|ARO:3001832|ACT-10	Class C beta-lactamases [ARO:3000076;ARO:3000019]	624.6
RF0038	Beta-lactamase	gb|AEV91214.1|ARO:3001832|ACT-10	PF00144.19 Beta-lactamase [ARO:3000001]	291.7
RF0056	ClassD	gb|BAO09635.1|ARO:3001557|OXA-371	Class D beta-lactamases [ARO:3000075;ARO:3000017]	393.8
RF0148	Transpeptidase	gb|BAO09635.1|ARO:3001557|OXA-371	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	114.0
RF0059	CTXM	gb|AFA51699.1|ARO:3001980|CTX-M-121	CTX-M beta-lactamase (class a) [ARO:3000016]	626.1
RF0053	ClassA	gb|AFA51699.1|ARO:3001980|CTX-M-121	Class A beta-lactamase [ARO:3000078]	428.1
RF0039	Beta-lactamase2	gb|AFA51699.1|ARO:3001980|CTX-M-121	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	144.3
RF0038	Beta-lactamase	gb|AFA51699.1|ARO:3001980|CTX-M-121	PF00144.19 Beta-lactamase [ARO:3000001]	120.0
RF0161	VEB-PER	gb|AAS48620.1|ARO:3002372|VEB-3	VEB and PER beta-lactamases (class a) [ARO:3000043;ARO:3000056]	574.4
RF0053	ClassA	gb|AAS48620.1|ARO:3002372|VEB-3	Class A beta-lactamase [ARO:3000078]	283.6
RF0039	Beta-lactamase2	gb|AAS48620.1|ARO:3002372|VEB-3	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	143.9
RF0038	Beta-lactamase	gb|AAS48620.1|ARO:3002372|VEB-3	PF00144.19 Beta-lactamase [ARO:3000001]	28.0
RF0167	Aminoglyc_resit	gb|AAA26652.1|ARO:3002835|lnuA	PF10706.4_Aminoglycoside-2''-adenylyltransferase	32.5
RF0148	Transpeptidase	gb|CAD58780.1|ARO:3001794|OXA-45	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	129.2
RF0056	ClassD	gb|ACM67635.1|ARO:3001800|OXA-226	Class D beta-lactamases [ARO:3000075;ARO:3000017]	337.9
RF0148	Transpeptidase	gb|ACM67635.1|ARO:3001800|OXA-226	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	130.2
RF0059	CTXM	gb|AIS67611.1|ARO:3003163|CTX-M-155	CTX-M beta-lactamase (class a) [ARO:3000016]	625.5
RF0053	ClassA	gb|AIS67611.1|ARO:3003163|CTX-M-155	Class A beta-lactamase [ARO:3000078]	413.6
RF0039	Beta-lactamase2	gb|AIS67611.1|ARO:3003163|CTX-M-155	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	143.2
RF0038	Beta-lactamase	gb|AIS67611.1|ARO:3003163|CTX-M-155	PF00144.19 Beta-lactamase [ARO:3000001]	108.4
RF0062	DHA	gb|AIT76106.1|ARO:3002146|DHA-15	DHA beta-lactamase (class c) [ARO:3000068]	898.6
RF0055	ClassC-AmpC	gb|AIT76106.1|ARO:3002146|DHA-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	561.3
RF0038	Beta-lactamase	gb|AIT76106.1|ARO:3002146|DHA-15	PF00144.19 Beta-lactamase [ARO:3000001]	274.5
RF0007	ABC_efflux	gb|ACB05808.1|ARO:3003109|msrE	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	281.2
RF0008	ABC_tran	gb|ACB05808.1|ARO:3003109|msrE	PF00005.22 ABC transporter [ARO:0010001]	67.3
RF0053	ClassA	gb|CAI43424.1|ARO:3002415|OXY-6-3	Class A beta-lactamase [ARO:3000078]	400.3
RF0039	Beta-lactamase2	gb|CAI43424.1|ARO:3002415|OXY-6-3	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	129.2
RF0038	Beta-lactamase	gb|CAI43424.1|ARO:3002415|OXY-6-3	PF00144.19 Beta-lactamase [ARO:3000001]	99.2
RF0077	Glyoxalase	gb|ACC85616.1|ARO:3002804|FosA2	PF00903.20 Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [ARO:3000000]	54.4
RF0033	APH3	gb|AAA26699.1|ARO:3002649|APH(3')-Va	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	374.7
RF0032	APH	gb|AAA26699.1|ARO:3002649|APH(3')-Va	PF01636.18 Phosphotransferase enzyme family [ARO:3000000]	133.4
RF0003	AAC3-I	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	354.1
RF0011	Acetyltransf_1	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	59.6
RF0014	Acetyltransf_7	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	PF13508.1 Acetyltransferase (GNAT) domain [ARO:3000000]	31.4
RF0113	Qnr	gb|AFR46589.1|ARO:3002771|QnrB58	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	373.5
RF0075	FmrO	gb|AGH19769.1|ARO:3003198|rmtH	PF07091.6 Ribosomal RNA methyltransferase (FmrO) [ARO:3000000]	238.1
RF0053	ClassA	gb|CAI43422.1|ARO:3002413|OXY-6-1	Class A beta-lactamase [ARO:3000078]	400.9
RF0039	Beta-lactamase2	gb|CAI43422.1|ARO:3002413|OXY-6-1	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	128.8
RF0038	Beta-lactamase	gb|CAI43422.1|ARO:3002413|OXY-6-1	PF00144.19 Beta-lactamase [ARO:3000001]	99.0
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AIT76099.1|ARO:3002125|CMY-114	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	768.9
RF0055	ClassC-AmpC	gb|AIT76099.1|ARO:3002125|CMY-114	Class C beta-lactamases [ARO:3000076;ARO:3000019]	647.3
RF0038	Beta-lactamase	gb|AIT76099.1|ARO:3002125|CMY-114	PF00144.19 Beta-lactamase [ARO:3000001]	295.2
RF0056	ClassD	gb|AAQ08905.1|ARO:3001808|OXA-60	Class D beta-lactamases [ARO:3000075;ARO:3000017]	289.3
RF0148	Transpeptidase	gb|AAQ08905.1|ARO:3001808|OXA-60	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	99.7
RF0056	ClassD	gb|CAJ77809.1|ARO:3001650|OXA-90	Class D beta-lactamases [ARO:3000075;ARO:3000017]	397.9
RF0148	Transpeptidase	gb|CAJ77809.1|ARO:3001650|OXA-90	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	115.9
RF0120	SME	gb|AAG29813.1|ARO:3002380|SME-2	SME beta-lactamase (class a) [ARO:3000055]	697.6
RF0053	ClassA	gb|AAG29813.1|ARO:3002380|SME-2	Class A beta-lactamase [ARO:3000078]	364.4
RF0039	Beta-lactamase2	gb|AAG29813.1|ARO:3002380|SME-2	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	148.7
RF0038	Beta-lactamase	gb|AAG29813.1|ARO:3002380|SME-2	PF00144.19 Beta-lactamase [ARO:3000001]	101.3
RF0002	AAC3	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	273.8
RF0031	Antibiotic_NAT	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	PF02522.9 Aminoglycoside 3-N-acetyltransferase [ARO:3000121]	247.9
RF0053	ClassA	gb|AAL79541.1|ARO:3002397|OXY-2-2	Class A beta-lactamase [ARO:3000078]	406.6
RF0039	Beta-lactamase2	gb|AAL79541.1|ARO:3002397|OXY-2-2	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	134.3
RF0038	Beta-lactamase	gb|AAL79541.1|ARO:3002397|OXY-2-2	PF00144.19 Beta-lactamase [ARO:3000001]	110.8
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|ACS44783.1|ARO:3002188|MOX-5	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	618.8
RF0055	ClassC-AmpC	gb|ACS44783.1|ARO:3002188|MOX-5	Class C beta-lactamases [ARO:3000076;ARO:3000019]	562.3
RF0038	Beta-lactamase	gb|ACS44783.1|ARO:3002188|MOX-5	PF00144.19 Beta-lactamase [ARO:3000001]	247.3
RF0126	TEM	gb|AGE11905.1|ARO:3000904|TEM-34	TEM beta-lactamase (class a) [ARO:3000014]	671.1
RF0053	ClassA	gb|AGE11905.1|ARO:3000904|TEM-34	Class A beta-lactamase [ARO:3000078]	424.9
RF0039	Beta-lactamase2	gb|AGE11905.1|ARO:3000904|TEM-34	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	133.6
RF0038	Beta-lactamase	gb|AGE11905.1|ARO:3000904|TEM-34	PF00144.19 Beta-lactamase [ARO:3000001]	104.4
RF0056	ClassD	gb|CAM86994.1|ARO:3001617|OXA-69	Class D beta-lactamases [ARO:3000075;ARO:3000017]	394.1
RF0148	Transpeptidase	gb|CAM86994.1|ARO:3001617|OXA-69	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	114.3
RF0126	TEM	gb|AAO33760.1|ARO:3000879|TEM-7	TEM beta-lactamase (class a) [ARO:3000014]	614.3
RF0053	ClassA	gb|AAO33760.1|ARO:3000879|TEM-7	Class A beta-lactamase [ARO:3000078]	396.0
RF0039	Beta-lactamase2	gb|AAO33760.1|ARO:3000879|TEM-7	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	133.4
RF0038	Beta-lactamase	gb|AAO33760.1|ARO:3000879|TEM-7	PF00144.19 Beta-lactamase [ARO:3000001]	100.2
RF0119	SHV-LEN	gb|BAA84973.1|ARO:3001082|SHV-24	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	665.1
RF0053	ClassA	gb|BAA84973.1|ARO:3001082|SHV-24	Class A beta-lactamase [ARO:3000078]	423.4
RF0039	Beta-lactamase2	gb|BAA84973.1|ARO:3001082|SHV-24	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	127.3
RF0038	Beta-lactamase	gb|BAA84973.1|ARO:3001082|SHV-24	PF00144.19 Beta-lactamase [ARO:3000001]	109.8
RF0113	Qnr	gb|AFU25658.1|ARO:3002762|QnrB47	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	370.0
RF0056	ClassD	gb|CCE94500.1|ARO:3001502|OXA-256	Class D beta-lactamases [ARO:3000075;ARO:3000017]	339.0
RF0148	Transpeptidase	gb|CCE94500.1|ARO:3001502|OXA-256	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	122.5
RF0113	Qnr	gb|AEG74318.1|ARO:3002795|QnrS6	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	397.9
RF0056	ClassD	gb|AGW16412.1|ARO:3001518|OXA-330	Class D beta-lactamases [ARO:3000075;ARO:3000017]	363.9
RF0148	Transpeptidase	gb|AGW16412.1|ARO:3001518|OXA-330	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	110.1
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|ADM21467.1|ARO:3002053|CMY-42	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	779.9
RF0055	ClassC-AmpC	gb|ADM21467.1|ARO:3002053|CMY-42	Class C beta-lactamases [ARO:3000076;ARO:3000019]	647.8
RF0038	Beta-lactamase	gb|ADM21467.1|ARO:3002053|CMY-42	PF00144.19 Beta-lactamase [ARO:3000001]	290.8
RF0005	AAC6-Ib	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	434.3
RF0015	Acetyltransf_8	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	110.2
RF0012	Acetyltransf_3	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	52.3
RF0011	Acetyltransf_1	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	46.4
RF0013	Acetyltransf_4	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	37.5
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AFU25635.1|ARO:3002083|CMY-70	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	768.5
RF0055	ClassC-AmpC	gb|AFU25635.1|ARO:3002083|CMY-70	Class C beta-lactamases [ARO:3000076;ARO:3000019]	649.1
RF0038	Beta-lactamase	gb|AFU25635.1|ARO:3002083|CMY-70	PF00144.19 Beta-lactamase [ARO:3000001]	290.1
RF0076	GES	gb|AFK80745.1|ARO:3002350|GES-21	GES beta-lactamase (class a) [ARO:3000066]	675.2
RF0053	ClassA	gb|AFK80745.1|ARO:3002350|GES-21	Class A beta-lactamase [ARO:3000078]	325.7
RF0039	Beta-lactamase2	gb|AFK80745.1|ARO:3002350|GES-21	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	130.7
RF0038	Beta-lactamase	gb|AFK80745.1|ARO:3002350|GES-21	PF00144.19 Beta-lactamase [ARO:3000001]	64.7
RF0119	SHV-LEN	gb|AAN04883.1|ARO:3001099|SHV-41	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	665.9
RF0053	ClassA	gb|AAN04883.1|ARO:3001099|SHV-41	Class A beta-lactamase [ARO:3000078]	426.3
RF0039	Beta-lactamase2	gb|AAN04883.1|ARO:3001099|SHV-41	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	126.3
RF0038	Beta-lactamase	gb|AAN04883.1|ARO:3001099|SHV-41	PF00144.19 Beta-lactamase [ARO:3000001]	109.6
RF0056	ClassD	gb|AHN53381.1|ARO:3001577|OXA-391	Class D beta-lactamases [ARO:3000075;ARO:3000017]	394.6
RF0148	Transpeptidase	gb|AHN53381.1|ARO:3001577|OXA-391	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	113.0
RF0126	TEM	gb|AAR84298.1|ARO:3000996|TEM-132	TEM beta-lactamase (class a) [ARO:3000014]	670.1
RF0053	ClassA	gb|AAR84298.1|ARO:3000996|TEM-132	Class A beta-lactamase [ARO:3000078]	424.6
RF0039	Beta-lactamase2	gb|AAR84298.1|ARO:3000996|TEM-132	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	133.5
RF0038	Beta-lactamase	gb|AAR84298.1|ARO:3000996|TEM-132	PF00144.19 Beta-lactamase [ARO:3000001]	105.2
RF0027	ANT3	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	548.2
RF0166	ANT	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase	364.2
RF0030	ANT9	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase (ANT9) [ARO:3000228]	202.5
RF0108	NDM-CcrA	gb|AGT37351.1|ARO:3002360|NDM-10	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	362.0
RF0123	SubclassB1	gb|AGT37351.1|ARO:3002360|NDM-10	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	288.5
RF0054	ClassB	gb|AGT37351.1|ARO:3002360|NDM-10	Class B beta-lactamase [ARO:3000004]	248.5
RF0085	Lactamase_B	gb|AGT37351.1|ARO:3002360|NDM-10	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	48.1
RF0124	SubclassB2	gb|AGT37351.1|ARO:3002360|NDM-10	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570]	41.6
RF0113	Qnr	gb|AGL43627.1|ARO:3002778|QnrB66	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	371.7
RF0119	SHV-LEN	gb|AAN04884.1|ARO:3001100|SHV-42	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	664.5
RF0053	ClassA	gb|AAN04884.1|ARO:3001100|SHV-42	Class A beta-lactamase [ARO:3000078]	424.6
RF0039	Beta-lactamase2	gb|AAN04884.1|ARO:3001100|SHV-42	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	129.4
RF0038	Beta-lactamase	gb|AAN04884.1|ARO:3001100|SHV-42	PF00144.19 Beta-lactamase [ARO:3000001]	111.5
RF0056	ClassD	gb|AAK49460.1|ARO:3001429|OXA-35	Class D beta-lactamases [ARO:3000075;ARO:3000017]	338.3
RF0148	Transpeptidase	gb|AAK49460.1|ARO:3001429|OXA-35	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	120.9
RF0119	SHV-LEN	gb|AAF64386.1|ARO:3001076|SHV-18	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	663.0
RF0053	ClassA	gb|AAF64386.1|ARO:3001076|SHV-18	Class A beta-lactamase [ARO:3000078]	423.4
RF0039	Beta-lactamase2	gb|AAF64386.1|ARO:3001076|SHV-18	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	127.4
RF0038	Beta-lactamase	gb|AAF64386.1|ARO:3001076|SHV-18	PF00144.19 Beta-lactamase [ARO:3000001]	110.5
RF0119	SHV-LEN	gb|CAJ47134.2|ARO:3001133|SHV-79	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	666.4
RF0053	ClassA	gb|CAJ47134.2|ARO:3001133|SHV-79	Class A beta-lactamase [ARO:3000078]	428.1
RF0039	Beta-lactamase2	gb|CAJ47134.2|ARO:3001133|SHV-79	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	126.3
RF0038	Beta-lactamase	gb|CAJ47134.2|ARO:3001133|SHV-79	PF00144.19 Beta-lactamase [ARO:3000001]	110.7
RF0126	TEM	gb|CAA71322.1|ARO:3000916|TEM-47	TEM beta-lactamase (class a) [ARO:3000014]	670.1
RF0053	ClassA	gb|CAA71322.1|ARO:3000916|TEM-47	Class A beta-lactamase [ARO:3000078]	425.1
RF0039	Beta-lactamase2	gb|CAA71322.1|ARO:3000916|TEM-47	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	134.0
