Accession	family	query_name	Resfams_description
RF0038	Beta-lactamase	1011934720|WP_062743204.1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	PF00144.19 Beta-lactamase [ARO:3000001]	89.7
RF0062	DHA	1011965783|WP_062771895.1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	DHA beta-lactamase (class c) [ARO:3000068]	896.1
RF0055	ClassC-AmpC	1011965783|WP_062771895.1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	Class C beta-lactamases [ARO:3000076;ARO:3000019]	559.6
RF0038	Beta-lactamase	1011965783|WP_062771895.1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	PF00144.19 Beta-lactamase [ARO:3000001]	271.4
RF0055	ClassC-AmpC	1016519580|WP_063099318.1|1|1|blaADC-151|blaADC|hydrolase|class_C_beta-lactamase_ADC-151	Class C beta-lactamases [ARO:3000076;ARO:3000019]	544.8
RF0038	Beta-lactamase	1016519580|WP_063099318.1|1|1|blaADC-151|blaADC|hydrolase|class_C_beta-lactamase_ADC-151	PF00144.19 Beta-lactamase [ARO:3000001]	222.3
RF0056	ClassD	1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_like|hydrolase|OXA-48_family_class_D_extended-spectrum_beta-lactamase_OXA-163	Class D beta-lactamases [ARO:3000075;ARO:3000017]	343.3
RF0148	Transpeptidase	1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_like|hydrolase|OXA-48_family_class_D_extended-spectrum_beta-lactamase_OXA-163	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	130.3
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	718.1
RF0055	ClassC-AmpC	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	Class C beta-lactamases [ARO:3000076;ARO:3000019]	632.1
RF0038	Beta-lactamase	1016936072|WP_063138000.1|1|1|blaACT-14|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	PF00144.19 Beta-lactamase [ARO:3000001]	291.9
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	718.2
RF0055	ClassC-AmpC	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	Class C beta-lactamases [ARO:3000076;ARO:3000019]	631.9
RF0038	Beta-lactamase	1016945748|WP_063147148.1|1|1|blaACT-67|blaACT|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	PF00144.19 Beta-lactamase [ARO:3000001]	290.7
RF0119	SHV-LEN	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	609.0
RF0053	ClassA	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	Class A beta-lactamase [ARO:3000078]	401.2
RF0039	Beta-lactamase2	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	124.3
RF0038	Beta-lactamase	1020271597|WP_063266839.1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	PF00144.19 Beta-lactamase [ARO:3000001]	107.0
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	694.6
RF0055	ClassC-AmpC	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	Class C beta-lactamases [ARO:3000076;ARO:3000019]	627.5
RF0038	Beta-lactamase	1022648640|WP_063406924.1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|CMY2/MIR/ACT/EC_family_class_c_beta-lactamase	PF00144.19 Beta-lactamase [ARO:3000001]	296.7
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	715.7
RF0055	ClassC-AmpC	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	627.2
RF0038	Beta-lactamase	1022660303|WP_063417273.1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	PF00144.19 Beta-lactamase [ARO:3000001]	292.1
RF0017	ACR_tran	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	PF00873.14 AcrB/AcrD/AcrF family [ARO:3000216;ARO:3000491;ARO:3000502]	1150.2
RF0115	RND_efflux	1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	1085.4
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	778.2
RF0055	ClassC-AmpC	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	Class C beta-lactamases [ARO:3000076;ARO:3000019]	647.9
RF0038	Beta-lactamase	1025734636|WP_063553425.1|1|1|blaCMY-38|blaCMY|hydrolase|class_C_beta-lactamase_CMY-38	PF00144.19 Beta-lactamase [ARO:3000001]	291.0
RF0148	Transpeptidase	1025836204|WP_063569909.1|1|1|blaOXA-258|blaOXA-PR|hydrolase|class_D_beta-lactamase_OXA-258	PF00905.17 Penicillin binding protein transpeptidase domain [ARO:3000129]	147.7
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	669.1
RF0055	ClassC-AmpC	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	621.5
RF0062	DHA	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	DHA beta-lactamase (class c) [ARO:3000068]	494.9
RF0038	Beta-lactamase	1027667609|WP_063610930.1|1|1|blaEC-15|blaEC|hydrolase|class_C_extended-spectrum_beta-lactamase_EC-15	PF00144.19 Beta-lactamase [ARO:3000001]	302.0
RF0005	AAC6-Ib	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	433.0
RF0015	Acetyltransf_8	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	112.3
RF0012	Acetyltransf_3	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	51.5
RF0011	Acetyltransf_1	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	48.1
RF0013	Acetyltransf_4	1027670681|WP_063612062.1|1|1|aac(6')-Ib|aac(6')-Ib|acetyltransferase|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	37.3
RF0067	Erm23S_rRNA_methyltrans	1027912433|WP_063796790.1|1|1|erm(Z)|erm(Z)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	273.3
RF0005	AAC6-Ib	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	432.6
RF0003	AAC3-I	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	253.4
RF0015	Acetyltransf_8	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	116.0
RF0011	Acetyltransf_1	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	100.3
RF0012	Acetyltransf_3	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	64.3
RF0013	Acetyltransf_4	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	42.0
RF0014	Acetyltransf_7	1028074075|WP_063838852.1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13508.1 Acetyltransferase (GNAT) domain [ARO:3000000]	38.1
RF0005	AAC6-Ib	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	432.6
RF0003	AAC3-I	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	253.4
RF0015	Acetyltransf_8	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	116.0
RF0011	Acetyltransf_1	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	100.3
RF0012	Acetyltransf_3	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	64.3
RF0013	Acetyltransf_4	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	42.0
RF0014	Acetyltransf_7	1028074075|WP_063838852.1|2|2|aac(6')-Ib''|aac(6')-Ib''|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(3)-Ib/aminoglycoside_N-acetyltransferase_AAC(6')-Ib''	PF13508.1 Acetyltransferase (GNAT) domain [ARO:3000000]	38.1
RF0005	AAC6-Ib	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	432.0
RF0015	Acetyltransf_8	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	110.5
RF0011	Acetyltransf_1	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	71.7
RF0012	Acetyltransf_3	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	55.7
RF0013	Acetyltransf_4	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	44.7
RF0014	Acetyltransf_7	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13508.1 Acetyltransferase (GNAT) domain [ARO:3000000]	34.9
RF0016	Acetyltransf_9	1028074076|WP_063838853.1|1|2|aac(6')-30|aac(6')-30|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13527.1 Acetyltransferase (GNAT) domain [ARO:3000000]	26.1
RF0005	AAC6-Ib	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	432.0
RF0015	Acetyltransf_8	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	110.5
RF0011	Acetyltransf_1	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	71.7
RF0012	Acetyltransf_3	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	55.7
RF0013	Acetyltransf_4	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	44.7
RF0014	Acetyltransf_7	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13508.1 Acetyltransferase (GNAT) domain [ARO:3000000]	34.9
RF0016	Acetyltransf_9	1028074076|WP_063838853.1|2|2|aac(6')-Ib'|aac(6')-Ib'|acetyltransferase|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'	PF13527.1 Acetyltransferase (GNAT) domain [ARO:3000000]	26.1
RF0027	ANT3	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	492.3
RF0005	AAC6-Ib	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	429.7
RF0166	ANT	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	Aminoglycoside Nucleotidyltransferase	318.5
RF0015	Acetyltransf_8	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	PF13523.1 Acetyltransferase (GNAT) domain [ARO:3000000]	106.8
RF0012	Acetyltransf_3	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	PF13302.1 Acetyltransferase (GNAT) domain [ARO:3000000]	49.6
RF0011	Acetyltransf_1	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	PF00583.19 Acetyltransferase (GNAT) family [ARO:3000000]	44.2
RF0013	Acetyltransf_4	1028078994|WP_063839875.1|1|2|ant(3'')-I|ant(3'')-I|nucleotidyltransferase|bifunctional_aminoglycoside_nucleotidyltransferase_ANT(3'')-Ij/aminoglycoside_N-acetyltransferase_AAC(6')-Ib	PF13420.1 Acetyltransferase (GNAT) domain [ARO:3000000]	32.6
