DATASET: NCBI
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
GES	45	45	45	1.0	1.0
Glyoxalase	39	39	39	1.0	1.0
GOB	17	22	17	0.7727272727272727	1.0
HTH_AraC	0	24	0	0.0	N/A
IMP	75	75	75	1.0	1.0
IND	18	19	18	0.9473684210526315	1.0
KHM	3	3	3	1.0	1.0
KPC	41	46	41	0.8913043478260869	1.0
L1	20	32	20	0.625	1.0
Lactamase_B	338	338	338	1.0	1.0
Lactamase_B_2	19	19	19	1.0	1.0
LRA	3	3	8	1.0	0.375
macA	0	0	0	N/A	N/A
macB	0	0	0	N/A	N/A
MacrolideGlycosyltransfer	2	2	2	1.0	1.0
marA	0	0	0	N/A	N/A
MarR	1	4	1	0.25	1.0
MarR_2	1	3	1	0.3333333333333333	1.0
mecR1	1	1	1	1.0	1.0
Methyltransf_18	24	24	24	1.0	1.0
MexA	2	2	2	1.0	1.0
MexC	0	0	0	N/A	N/A
MexE	14	15	14	0.9333333333333333	1.0
MexH	0	0	0	N/A	N/A
MexW-MexI	0	2	0	0.0	N/A
MexX	2	2	2	1.0	1.0
MFS_1	188	192	188	0.9791666666666666	1.0
MFS_3	68	71	68	0.9577464788732394	1.0
MFSAntibioticEffluxPump	92	92	160	1.0	0.575
MoxA	0	29	0	0.0	N/A
mprF	0	0	0	N/A	N/A
msbA	0	0	0	N/A	N/A
NDM-CcrA	49	50	49	0.98	1.0
norA	0	0	0	N/A	N/A
Nuc_H_symport	0	0	0	N/A	N/A
PC1	0	16	0	0.0	N/A
phoQ	0	0	0	N/A	N/A
QuinoloneResistanceProteinQnr	114	114	114	1.0	1.0
ramA	0	0	0	N/A	N/A
RNDAntibioticEffluxPump	46	46	85	1.0	0.5411764705882353
robA	0	0	0	N/A	N/A
romA	0	0	0	N/A	N/A
Sfh	1	1	1	1.0	1.0
SHV-LEN	249	251	249	0.9920318725099602	1.0
SME	5	5	5	1.0	1.0
soxR	2	2	2	1.0	1.0
SPM	2	2	2	1.0	1.0
SubclassB1	253	269	253	0.9405204460966543	1.0
SubclassB2	15	268	15	0.055970149253731345	1.0
SubclassB3	69	69	69	1.0	1.0
TEM	187	212	187	0.8820754716981132	1.0
TetA	26	28	29	0.9285714285714286	0.896551724137931
TetA-B	17	17	17	1.0	1.0
TetA-G	3	3	3	1.0	1.0
TetD	7	7	7	1.0	1.0
TetE	3	3	3	1.0	1.0
TetH-TetJ	7	7	7	1.0	1.0
TetM-TetW-TetO-TetS	88	88	88	1.0	1.0
Tetracycline_Resistance_MFS_Efflux_Pump	83	83	123	1.0	0.6747967479674797
Tetracycline_Resistance_Ribosomal_Protection_Protein	97	97	98	1.0	0.9897959183673469
TetX	5	5	5	1.0	1.0
TetY	2	2	2	1.0	1.0
Tex_N	0	0	0	N/A	N/A
Thymidylat_synt	0	0	0	N/A	N/A
Bcr_Cfla	0	34	0	0.0	N/A
EmrB	1	5	1	0.2	1.0
MATE_efflux	6	6	6	1.0	1.0
drrA	1	1	1	1.0	1.0
DalaDala	55	57	55	0.9649122807017544	1.0
SoxR	2	2	2	1.0	1.0
ThymSym	0	0	0	N/A	N/A
tolC	0	0	0	N/A	N/A
Transpeptidase	861	861	861	1.0	1.0
vanA	3	3	6	1.0	0.5
vanB	12	12	12	1.0	1.0
vanC	15	15	15	1.0	1.0
vanD	8	8	8	1.0	1.0
vanH	19	19	20	1.0	0.95
vanR	28	28	28	1.0	1.0
vanS	28	28	28	1.0	1.0
vanT	12	12	13	1.0	0.9230769230769231
vanW	9	9	9	1.0	1.0
vanX	27	27	27	1.0	1.0
vanY	16	16	16	1.0	1.0
vanZ	2	2	3	1.0	0.6666666666666666
VEB-PER	45	45	45	1.0	1.0
VIM	65	65	65	1.0	1.0
Whib	0	0	0	N/A	N/A
RND_mfp	30	30	30	1.0	1.0
Dihydropteroate	39	39	39	1.0	1.0
ANT	203	203	236	1.0	0.8601694915254238
Aminoglyc_resit	31	31	31	1.0	1.0
TE_Inactivator	8	8	8	1.0	1.0
Small_Multi_Drug_Res	36	36	36	1.0	1.0
Usp	0	8	0	0.0	N/A
APH3''	0	0	9	N/A	0.0
APH3'	0	0	21	N/A	0.0
ArmA_Rmt	0	0	0	N/A	N/A
