Accession	family	query_name	Resfams_description
MB-RF034	ClassA	gb|AAF19151.1|ARO:3000938|TEM-72	Class A beta-lactamase [ARO:3000078]	472.0
MB-RF127	TEM	gb|AAD45935.1|ARO:3000928|TEM-59	TEM beta-lactamase (class a) [ARO:3000014]	647.7
MB-RF034	ClassA	gb|AAD45935.1|ARO:3000928|TEM-59	Class A beta-lactamase [ARO:3000078]	456.4
MB-RF067	KPC	gb|ACS35345.1|ARO:3002320|KPC-10	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	683.9
MB-RF034	ClassA	gb|ACS35345.1|ARO:3002320|KPC-10	Class A beta-lactamase [ARO:3000078]	359.0
MB-RF098	OXA-cluster5	gb|AEV91551.1|ARO:3001711|OXA-212	OXA beta-lactamase (cluster 5), part of ClassD beta-lactamase [ARO:3000017]	533.5
MB-RF093	OXA	gb|AEV91551.1|ARO:3001711|OXA-212	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	369.0
MB-RF037	ClassD	gb|AEV91551.1|ARO:3001711|OXA-212	Class D beta-lactamases [ARO:3000075;ARO:3000017]	360.2
MB-RF063	IMP	gb|CAB94707.1|ARO:3002193|IMP-2	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	538.2
MB-RF123	SubclassB1	gb|CAB94707.1|ARO:3002193|IMP-2	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	274.3
MB-RF035	ClassB	gb|CAB94707.1|ARO:3002193|IMP-2	Class B beta-lactamase [ARO:3000004]	268.2
MB-RF039	CMY-MOX-FOX	gb|CAA63264.1|ARO:3002012|CMY-1	A grouping of related CMY, MOX, FOX betalactamase (class C)	854.7
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|CAA63264.1|ARO:3002012|CMY-1	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	604.1
MB-RF036	ClassC-AmpC	gb|CAA63264.1|ARO:3002012|CMY-1	Class C beta-lactamases [ARO:3000076;ARO:3000019]	581.8
MB-RF101	OXA-cluster8	gb|AGW16411.1|ARO:3001517|OXA-329	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	571.6
MB-RF093	OXA	gb|AGW16411.1|ARO:3001517|OXA-329	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	385.2
MB-RF037	ClassD	gb|AGW16411.1|ARO:3001517|OXA-329	Class D beta-lactamases [ARO:3000075;ARO:3000017]	379.8
MB-RF043	ACT-MIR	gb|AEV91214.1|ARO:3001832|ACT-10	A grouping of related ACT and MIR betalactamases (class C) [ARO:3000072;ARO:3000058]	896.0
MB-RF044	ACT	gb|AEV91214.1|ARO:3001832|ACT-10	ACT betalactamase (class C) [ARO:3000072]	860.5
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AEV91214.1|ARO:3001832|ACT-10	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	654.1
MB-RF036	ClassC-AmpC	gb|AEV91214.1|ARO:3001832|ACT-10	Class C beta-lactamases [ARO:3000076;ARO:3000019]	630.3
MB-RF101	OXA-cluster8	gb|BAO09635.1|ARO:3001557|OXA-371	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	619.4
MB-RF093	OXA	gb|BAO09635.1|ARO:3001557|OXA-371	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	410.6
MB-RF037	ClassD	gb|BAO09635.1|ARO:3001557|OXA-371	Class D beta-lactamases [ARO:3000075;ARO:3000017]	400.5
MB-RF048	CTX-M	gb|AFA51699.1|ARO:3001980|CTX-M-121	CTX-M beta-lactamase (class a) [ARO:3000016]	626.9
MB-RF034	ClassA	gb|AFA51699.1|ARO:3001980|CTX-M-121	Class A beta-lactamase [ARO:3000078]	400.7
MB-RF159	VEB	gb|AAS48620.1|ARO:3002372|VEB-3	VEB beta-lactamases (class a) -- Separated from VEB-PER	694.3
MB-RF034	ClassA	gb|AAS48620.1|ARO:3002372|VEB-3	Class A beta-lactamase [ARO:3000078]	258.5
MB-RF096	OXA-cluster3	gb|CAD58780.1|ARO:3001794|OXA-45	OXA beta-lactamase (cluster 3), part of ClassD beta-lactamase [ARO:3000017]	362.7
MB-RF037	ClassD	gb|CAD58780.1|ARO:3001794|OXA-45	Class D beta-lactamases [ARO:3000075;ARO:3000017]	229.9
MB-RF093	OXA	gb|CAD58780.1|ARO:3001794|OXA-45	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	216.3
MB-RF097	OXA-cluster4	gb|ACM67635.1|ARO:3001800|OXA-226	OXA beta-lactamase (cluster 4), part of ClassD beta-lactamase [ARO:3000017]	614.8
MB-RF093	OXA	gb|ACM67635.1|ARO:3001800|OXA-226	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	323.6
MB-RF037	ClassD	gb|ACM67635.1|ARO:3001800|OXA-226	Class D beta-lactamases [ARO:3000075;ARO:3000017]	319.4
MB-RF048	CTX-M	gb|AIS67611.1|ARO:3003163|CTX-M-155	CTX-M beta-lactamase (class a) [ARO:3000016]	622.7
MB-RF034	ClassA	gb|AIS67611.1|ARO:3003163|CTX-M-155	Class A beta-lactamase [ARO:3000078]	384.8
MB-RF049	DHA	gb|AIT76106.1|ARO:3002146|DHA-15	DHA beta-lactamase (class c) [ARO:3000068]	892.0
MB-RF036	ClassC-AmpC	gb|AIT76106.1|ARO:3002146|DHA-15	Class C beta-lactamases [ARO:3000076;ARO:3000019]	566.7
MB-RF006	ABCAntibioticEffluxPump	gb|ACB05808.1|ARO:3003109|msrE	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	148.4
MB-RF102	OXY	gb|CAI43424.1|ARO:3002415|OXY-6-3	OXY beta-lactamases [ARO:3002388]	639.7
MB-RF034	ClassA	gb|CAI43424.1|ARO:3002415|OXY-6-3	Class A beta-lactamase [ARO:3000078]	387.8
MB-RF020	APH3_prime	gb|AAA26699.1|ARO:3002649|APH(3')-Va	aminoglycoside phosphotransferase prime (APH3')	352.9
MB-RF018	APH3	gb|AAA26699.1|ARO:3002649|APH(3')-Va	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	337.4
MB-RF011	Aminoglycoside	gb|AAA26699.1|ARO:3002649|APH(3')-Va	Determinant of Aminoglycoside Resistance	114.3
MB-RF002	AAC3	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	108.0
MB-RF003	AAC3-I	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	108.0
MB-RF011	Aminoglycoside	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Determinant of Aminoglycoside Resistance	18.2
MB-RF001	16S_Ribosomal_RNA_Methyltransferase	gb|AGH19769.1|ARO:3003198|rmtH	16S ribosomal RNA methyltransferase [ARO:3000857]	368.8
MB-RF102	OXY	gb|CAI43422.1|ARO:3002413|OXY-6-1	OXY beta-lactamases [ARO:3002388]	640.8
MB-RF034	ClassA	gb|CAI43422.1|ARO:3002413|OXY-6-1	Class A beta-lactamase [ARO:3000078]	389.0
MB-RF121	soxR	gb|AAL19308.1|ARO:3000504|golS	soxR: mutant efflux regulatory protein conferring antibiotic resistance [ARO:3000836]	204.7
MB-RF009	adeC-adeK-oprM	gb|BAE78082.1|ARO:3003550|mdtP	adeC-adeK-oprM: outer membrane factor the multidrug efflux complex [ARO:3000776;ARO:3000782;ARO:3000379]	453.5
MB-RF072	macA	gb|BAE78082.1|ARO:3003550|mdtP	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	121.1
MB-RF108	RNDefflux	gb|BAE78082.1|ARO:3003550|mdtP	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	61.4
MB-RF006	ABCAntibioticEffluxPump	gb|BAE78082.1|ARO:3003550|mdtP	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	37.9
MB-RF086	MFSAntibioticEffluxPump	gb|BAE78082.1|ARO:3003550|mdtP	major facilitator superfamily (MFS) antibiotic efflux pump	33.5
MB-RF040	CMY	gb|AIT76099.1|ARO:3002125|CMY-114	CMY betalactamase (class C) [ARO:3000069]	842.1
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AIT76099.1|ARO:3002125|CMY-114	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	682.9
MB-RF036	ClassC-AmpC	gb|AIT76099.1|ARO:3002125|CMY-114	Class C beta-lactamases [ARO:3000076;ARO:3000019]	653.1
MB-RF037	ClassD	gb|AAQ08905.1|ARO:3001808|OXA-60	Class D beta-lactamases [ARO:3000075;ARO:3000017]	305.5
MB-RF093	OXA	gb|AAQ08905.1|ARO:3001808|OXA-60	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	302.0
MB-RF101	OXA-cluster8	gb|CAJ77809.1|ARO:3001650|OXA-90	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	624.7
MB-RF093	OXA	gb|CAJ77809.1|ARO:3001650|OXA-90	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	414.5
MB-RF037	ClassD	gb|CAJ77809.1|ARO:3001650|OXA-90	Class D beta-lactamases [ARO:3000075;ARO:3000017]	404.1
MB-RF120	SME	gb|AAG29813.1|ARO:3002380|SME-2	SME beta-lactamase (class a) [ARO:3000055]	696.7
MB-RF034	ClassA	gb|AAG29813.1|ARO:3002380|SME-2	Class A beta-lactamase [ARO:3000078]	358.4
MB-RF002	AAC3	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	355.6
MB-RF003	AAC3-I	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	355.6
MB-RF011	Aminoglycoside	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Determinant of Aminoglycoside Resistance	60.1
MB-RF102	OXY	gb|AAL79541.1|ARO:3002397|OXY-2-2	OXY beta-lactamases [ARO:3002388]	644.4
MB-RF034	ClassA	gb|AAL79541.1|ARO:3002397|OXY-2-2	Class A beta-lactamase [ARO:3000078]	391.4
MB-RF039	CMY-MOX-FOX	gb|ACS44783.1|ARO:3002188|MOX-5	A grouping of related CMY, MOX, FOX betalactamase (class C)	726.9
MB-RF036	ClassC-AmpC	gb|ACS44783.1|ARO:3002188|MOX-5	Class C beta-lactamases [ARO:3000076;ARO:3000019]	547.1
MB-RF127	TEM	gb|AGE11905.1|ARO:3000904|TEM-34	TEM beta-lactamase (class a) [ARO:3000014]	671.6
MB-RF034	ClassA	gb|AGE11905.1|ARO:3000904|TEM-34	Class A beta-lactamase [ARO:3000078]	471.0
MB-RF101	OXA-cluster8	gb|CAM86994.1|ARO:3001617|OXA-69	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	621.4
MB-RF093	OXA	gb|CAM86994.1|ARO:3001617|OXA-69	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	411.0
MB-RF037	ClassD	gb|CAM86994.1|ARO:3001617|OXA-69	Class D beta-lactamases [ARO:3000075;ARO:3000017]	401.0
MB-RF127	TEM	gb|AAO33760.1|ARO:3000879|TEM-7	TEM beta-lactamase (class a) [ARO:3000014]	612.0
MB-RF034	ClassA	gb|AAO33760.1|ARO:3000879|TEM-7	Class A beta-lactamase [ARO:3000078]	436.1
MB-RF115	SHV	gb|BAA84973.1|ARO:3001082|SHV-24	SHV related beta-lactamase (class a)	666.3
MB-RF114	SHV-LEN	gb|BAA84973.1|ARO:3001082|SHV-24	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	661.1
MB-RF113	SHV-LEN-OKP	gb|BAA84973.1|ARO:3001082|SHV-24	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	655.9
MB-RF034	ClassA	gb|BAA84973.1|ARO:3001082|SHV-24	Class A beta-lactamase [ARO:3000078]	464.2
MB-RF094	OXA-cluster1	gb|CCE94500.1|ARO:3001502|OXA-256	OXA beta-lactamase (cluster 1), part of ClassD beta-lactamase [ARO:3000017]	615.9
MB-RF037	ClassD	gb|CCE94500.1|ARO:3001502|OXA-256	Class D beta-lactamases [ARO:3000075;ARO:3000017]	354.4
MB-RF093	OXA	gb|CCE94500.1|ARO:3001502|OXA-256	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	343.9
MB-RF101	OXA-cluster8	gb|AGW16412.1|ARO:3001518|OXA-330	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	572.1
MB-RF093	OXA	gb|AGW16412.1|ARO:3001518|OXA-330	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	388.7
MB-RF037	ClassD	gb|AGW16412.1|ARO:3001518|OXA-330	Class D beta-lactamases [ARO:3000075;ARO:3000017]	382.8
MB-RF040	CMY	gb|ADM21467.1|ARO:3002053|CMY-42	CMY betalactamase (class C) [ARO:3000069]	848.7
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|ADM21467.1|ARO:3002053|CMY-42	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	684.7
MB-RF036	ClassC-AmpC	gb|ADM21467.1|ARO:3002053|CMY-42	Class C beta-lactamases [ARO:3000076;ARO:3000019]	652.5
MB-RF004	AAC6-I	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	259.9
MB-RF011	Aminoglycoside	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Determinant of Aminoglycoside Resistance	135.4
MB-RF040	CMY	gb|AFU25635.1|ARO:3002083|CMY-70	CMY betalactamase (class C) [ARO:3000069]	838.2
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AFU25635.1|ARO:3002083|CMY-70	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	684.9
MB-RF036	ClassC-AmpC	gb|AFU25635.1|ARO:3002083|CMY-70	Class C beta-lactamases [ARO:3000076;ARO:3000019]	654.5
MB-RF059	GES	gb|AFK80745.1|ARO:3002350|GES-21	GES beta-lactamase (class a) [ARO:3000066]	674.6
MB-RF034	ClassA	gb|AFK80745.1|ARO:3002350|GES-21	Class A beta-lactamase [ARO:3000078]	306.4
MB-RF115	SHV	gb|AAN04883.1|ARO:3001099|SHV-41	SHV related beta-lactamase (class a)	667.2
MB-RF114	SHV-LEN	gb|AAN04883.1|ARO:3001099|SHV-41	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	662.1
MB-RF113	SHV-LEN-OKP	gb|AAN04883.1|ARO:3001099|SHV-41	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	656.9
MB-RF034	ClassA	gb|AAN04883.1|ARO:3001099|SHV-41	Class A beta-lactamase [ARO:3000078]	464.9
MB-RF101	OXA-cluster8	gb|AHN53381.1|ARO:3001577|OXA-391	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	621.7
MB-RF093	OXA	gb|AHN53381.1|ARO:3001577|OXA-391	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	411.3
MB-RF037	ClassD	gb|AHN53381.1|ARO:3001577|OXA-391	Class D beta-lactamases [ARO:3000075;ARO:3000017]	400.8
MB-RF127	TEM	gb|AAR84298.1|ARO:3000996|TEM-132	TEM beta-lactamase (class a) [ARO:3000014]	670.6
MB-RF034	ClassA	gb|AAR84298.1|ARO:3000996|TEM-132	Class A beta-lactamase [ARO:3000078]	471.9
MB-RF014	ANT3	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	515.2
MB-RF012	ANT	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase	486.4
MB-RF011	Aminoglycoside	gb|CAH10847.1|ARO:3002620|aadA23	Determinant of Aminoglycoside Resistance	398.5
MB-RF090	NDM-CcrA	gb|AGT37351.1|ARO:3002360|NDM-10	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	336.6
MB-RF123	SubclassB1	gb|AGT37351.1|ARO:3002360|NDM-10	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	297.1
MB-RF035	ClassB	gb|AGT37351.1|ARO:3002360|NDM-10	Class B beta-lactamase [ARO:3000004]	239.2
MB-RF115	SHV	gb|AAN04884.1|ARO:3001100|SHV-42	SHV related beta-lactamase (class a)	665.7
MB-RF114	SHV-LEN	gb|AAN04884.1|ARO:3001100|SHV-42	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	660.8
MB-RF113	SHV-LEN-OKP	gb|AAN04884.1|ARO:3001100|SHV-42	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	655.5
MB-RF034	ClassA	gb|AAN04884.1|ARO:3001100|SHV-42	Class A beta-lactamase [ARO:3000078]	460.8
MB-RF094	OXA-cluster1	gb|AAK49460.1|ARO:3001429|OXA-35	OXA beta-lactamase (cluster 1), part of ClassD beta-lactamase [ARO:3000017]	613.1
MB-RF037	ClassD	gb|AAK49460.1|ARO:3001429|OXA-35	Class D beta-lactamases [ARO:3000075;ARO:3000017]	352.3
MB-RF093	OXA	gb|AAK49460.1|ARO:3001429|OXA-35	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	342.5
MB-RF115	SHV	gb|AAF64386.1|ARO:3001076|SHV-18	SHV related beta-lactamase (class a)	664.0
MB-RF114	SHV-LEN	gb|AAF64386.1|ARO:3001076|SHV-18	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	658.6
MB-RF113	SHV-LEN-OKP	gb|AAF64386.1|ARO:3001076|SHV-18	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	653.1
MB-RF034	ClassA	gb|AAF64386.1|ARO:3001076|SHV-18	Class A beta-lactamase [ARO:3000078]	460.2
MB-RF115	SHV	gb|CAJ47134.2|ARO:3001133|SHV-79	SHV related beta-lactamase (class a)	667.6
MB-RF114	SHV-LEN	gb|CAJ47134.2|ARO:3001133|SHV-79	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	662.7
MB-RF113	SHV-LEN-OKP	gb|CAJ47134.2|ARO:3001133|SHV-79	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	657.5
MB-RF034	ClassA	gb|CAJ47134.2|ARO:3001133|SHV-79	Class A beta-lactamase [ARO:3000078]	464.9
MB-RF127	TEM	gb|CAA71322.1|ARO:3000916|TEM-47	TEM beta-lactamase (class a) [ARO:3000014]	670.5
MB-RF034	ClassA	gb|CAA71322.1|ARO:3000916|TEM-47	Class A beta-lactamase [ARO:3000078]	471.1
MB-RF127	TEM	gb|CAA46346.1|ARO:3000887|TEM-16	TEM beta-lactamase (class a) [ARO:3000014]	670.6
MB-RF034	ClassA	gb|CAA46346.1|ARO:3000887|TEM-16	Class A beta-lactamase [ARO:3000078]	472.0
MB-RF160	VIM	gb|AGC50807.1|ARO:3002307|VIM-37	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	595.5
MB-RF035	ClassB	gb|AGC50807.1|ARO:3002307|VIM-37	Class B beta-lactamase [ARO:3000004]	252.6
MB-RF123	SubclassB1	gb|AGC50807.1|ARO:3002307|VIM-37	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	212.8
MB-RF043	ACT-MIR	gb|AIT76085.1|ARO:3001849|ACT-29	A grouping of related ACT and MIR betalactamases (class C) [ARO:3000072;ARO:3000058]	905.6
MB-RF044	ACT	gb|AIT76085.1|ARO:3001849|ACT-29	ACT betalactamase (class C) [ARO:3000072]	866.7
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AIT76085.1|ARO:3001849|ACT-29	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	660.0
MB-RF036	ClassC-AmpC	gb|AIT76085.1|ARO:3001849|ACT-29	Class C beta-lactamases [ARO:3000076;ARO:3000019]	637.0
MB-RF042	FOX	gb|CAA71947.1|ARO:3002157|FOX-3	FOX betalactamase (class C) [ARO:3000067]	892.1
MB-RF039	CMY-MOX-FOX	gb|CAA71947.1|ARO:3002157|FOX-3	A grouping of related CMY, MOX, FOX betalactamase (class C)	722.6
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|CAA71947.1|ARO:3002157|FOX-3	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	602.7
MB-RF036	ClassC-AmpC	gb|CAA71947.1|ARO:3002157|FOX-3	Class C beta-lactamases [ARO:3000076;ARO:3000019]	581.7
MB-RF104	PER	gb|ACE77058.1|ARO:3002366|PER-4	PER beta-lactamases (class a) -- Separated from VEB-PER	707.3
MB-RF034	ClassA	gb|ACE77058.1|ARO:3002366|PER-4	Class A beta-lactamase [ARO:3000078]	256.8
MB-RF053	GIM	gb|CAF05908.1|ARO:3000845|GIM-1	GIM related beta-lactamase (subclass B1 (metallo-) beta-lactamases)" [ARO:3000845]	407.8
MB-RF051	DIM-GIM	gb|CAF05908.1|ARO:3000845|GIM-1	"A grouping of the related DIM and GIM beta-lactamases (subclass B1 (metallo-) beta-lactamases)" [ARO:3000848;ARO:3000845]	392.7
MB-RF123	SubclassB1	gb|CAF05908.1|ARO:3000845|GIM-1	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	319.3
MB-RF050	DIM-GIM-SIM	gb|CAF05908.1|ARO:3000845|GIM-1	"A grouping of the related DIM, GIM, and SIM beta-lactamases (subclass B1 (metallo-) beta-lactamases)" [ARO:3000848;ARO:3000845;ARO:3000846]	314.6
MB-RF035	ClassB	gb|CAF05908.1|ARO:3000845|GIM-1	Class B beta-lactamase [ARO:3000004]	254.1
MB-RF063	IMP	gb|BAM62793.1|ARO:3002233|IMP-42	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	538.5
MB-RF035	ClassB	gb|BAM62793.1|ARO:3002233|IMP-42	Class B beta-lactamase [ARO:3000004]	272.3
MB-RF123	SubclassB1	gb|BAM62793.1|ARO:3002233|IMP-42	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	266.9
MB-RF127	TEM	gb|AAK82652.1|ARO:3000965|TEM-102	TEM beta-lactamase (class a) [ARO:3000014]	667.6
