Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
MEG_100|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')	aminoglycoside N-acetyltransferase AAC(6')-Ial	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	147	146	100.00	100.00	146	WP_016930164.1	aminoglycoside N-acetyltransferase AAC(6')-Ial	NF000021.4	aminoglycoside 6'-N-acetyltransferase
MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-Ih	aminoglycoside O-phosphotransferase APH(2'')-Ih	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	298	297	100.00	100.00	297	WP_057098416.1	aminoglycoside O-phosphotransferase APH(2'')-Ih	NF000498.2	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase
MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-IIa	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	300	299	100.00	100.00	299	WP_016439437.1	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa
MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-IVa	aminoglycoside O-phosphotransferase APH(2'')-IVa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	302	301	100.00	100.00	301	WP_021401024.1	aminoglycoside O-phosphotransferase APH(2'')-IVa	NF000076.3	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase
MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-IIa	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	300	299	100.00	100.00	299	WP_063840674.1	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa
MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-If	aminoglycoside O-phosphotransferase APH(2'')-If	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	298	297	100.00	100.00	297	WP_021424053.1	aminoglycoside O-phosphotransferase APH(2'')-If	NF000498.2	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase
MEG_1015|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-Ie	aminoglycoside O-phosphotransferase APH(2'')-Ie	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	302	301	100.00	100.00	301	WP_032491359.1	aminoglycoside O-phosphotransferase APH(2'')-Ie	NF000076.3	APH(2'')-Ie/IVa family aminoglycoside O-phosphotransferase
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa
MEG_1017|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-IIIa	aminoglycoside O-phosphotransferase APH(2'')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	307	306	100.00	100.00	306	WP_018659526.1	aminoglycoside O-phosphotransferase APH(2'')-IIIa	NF000044.2	aminoglycoside O-phosphotransferase APH(2'')-IIIa
MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-Ig	aminoglycoside O-phosphotransferase APH(2'')-Ig	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	307	306	100.00	100.00	306	WP_021034342.1	aminoglycoside O-phosphotransferase APH(2'')-Ig	NF000132.2	aminoglycoside O-phosphotransferase APH(2'')-Ig
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	276	275	100.00	99.64	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	147	146	100.00	100.00	146	WP_025304332.1	aminoglycoside 6'-N-acetyltransferase	NF000021.4	aminoglycoside 6'-N-acetyltransferase
MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-XV	aminoglycoside O-phosphotransferase APH(3')-XV	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_034067921.1	aminoglycoside O-phosphotransferase APH(3')-XV	NF033063.0	aminoglycoside O-phosphotransferase APH(3')-XV
MEG_1021|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-II	APH(3')-II family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	268	267	100.00	100.00	267	WP_087587933.1	APH(3')-II family aminoglycoside O-phosphotransferase	NF032898.1	APH(3')-II family aminoglycoside O-phosphotransferase
MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_032492145.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1023|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_000018330.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_010891090.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_063842148.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_012477822.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_000018321.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_063841683.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_012695470.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	147	146	100.00	100.00	146	WP_033639326.1	aminoglycoside 6'-N-acetyltransferase	NF000021.4	aminoglycoside 6'-N-acetyltransferase
MEG_1030|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_011039766.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1031|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Id	aminoglycoside O-phosphotransferase APH(3')-Id	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_010891085.1	aminoglycoside O-phosphotransferase APH(3')-Id	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1032|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ia	aminoglycoside O-phosphotransferase APH(3'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	273	272	100.00	100.00	272	WP_063840677.1	aminoglycoside O-phosphotransferase APH(3'')-Ia	NF032894.1	aminoglycoside O-phosphotransferase APH(3'')-Ia
MEG_1033|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ia	aminoglycoside O-phosphotransferase APH(3'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	273	272	100.00	100.00	272	WP_012377648.1	aminoglycoside O-phosphotransferase APH(3'')-Ia	NF032894.1	aminoglycoside O-phosphotransferase APH(3'')-Ia
MEG_1034|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	269	268	100.00	100.00	268	WP_003113011.1	aminoglycoside O-phosphotransferase APH(3')-IIb	NF032898.1	APH(3')-II family aminoglycoside O-phosphotransferase
MEG_1035|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Vb	aminoglycoside O-phosphotransferase APH(3')-Vb	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	265	264	100.00	100.00	264	WP_063842178.1	aminoglycoside O-phosphotransferase APH(3')-Vb	NF032897.1	APH(3')-V family aminoglycoside O-phosphotransferase
MEG_1036|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIc	aminoglycoside O-phosphotransferase APH(3')-IIc	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	268	267	100.00	100.00	267	WP_012479999.1	aminoglycoside O-phosphotransferase APH(3')-IIc	NF032898.1	APH(3')-II family aminoglycoside O-phosphotransferase
MEG_1037|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Va	aminoglycoside O-phosphotransferase APH(3')-Va	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	269	268	100.00	100.00	268	WP_031129630.1	aminoglycoside O-phosphotransferase APH(3')-Va	NF032897.1	APH(3')-V family aminoglycoside O-phosphotransferase
MEG_1038|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_032491780.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa
MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_063841507.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa
MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	147	146	100.00	100.00	146	WP_047026538.1	aminoglycoside 6'-N-acetyltransferase	NF000021.4	aminoglycoside 6'-N-acetyltransferase
MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_063841495.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa
MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	270	269	100.00	100.00	269	WP_063842098.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1042|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-XV	aminoglycoside O-phosphotransferase APH(3')-XV	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	269	268	100.00	100.00	268	WP_032492579.1	aminoglycoside O-phosphotransferase APH(3')-XV	NF033063.0	aminoglycoside O-phosphotransferase APH(3')-XV
MEG_1043|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ib	aminoglycoside O-phosphotransferase APH(3')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	BLASTP	272	271	100.00	99.63	271	WP_011205810.1	aminoglycoside O-phosphotransferase APH(3')-Ib	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	268	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	268	267	100.00	100.00	267	WP_010794532.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
MEG_1047|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IX	APH(3') family aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	267	266	100.00	100.00	266	WP_004861468.1	APH(3') family aminoglycoside O-phosphotransferase	NF033068.1	APH(3') family aminoglycoside O-phosphotransferase
MEG_1048|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-VIII	aminoglycoside O-phosphotransferase APH(3')-VIII	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	260	259	100.00	100.00	259	WP_016656536.1	aminoglycoside O-phosphotransferase APH(3')-VIII	NF033066.0	aminoglycoside O-phosphotransferase APH(3')-VIII
MEG_1049|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ic	aminoglycoside O-phosphotransferase APH(3'')-Ic	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	255	254	100.00	99.61	254	WP_063841015.1	aminoglycoside O-phosphotransferase APH(3'')-Ic	NF032896.1	APH(3'') family aminoglycoside O-phosphotransferase
MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	147	146	100.00	100.00	146	WP_046687856.1	aminoglycoside 6'-N-acetyltransferase	NF000021.4	aminoglycoside 6'-N-acetyltransferase
MEG_1050|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3')-IIa	aminoglycoside O-phosphotransferase APH(3')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_000572405.1	aminoglycoside O-phosphotransferase APH(3')-IIa	NF032898.1	APH(3')-II family aminoglycoside O-phosphotransferase
MEG_1051|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ia	aminoglycoside O-phosphotransferase APH(3'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	273	272	100.00	100.00	272	WP_063840676.1	aminoglycoside O-phosphotransferase APH(3'')-Ia	NF032894.1	aminoglycoside O-phosphotransferase APH(3'')-Ia
MEG_1052|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(6)	APH(6) family putative aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	271	270	100.00	100.00	270	WP_063841666.1	APH(6) family putative aminoglycoside O-phosphotransferase	NF012160.0	APH(6) family putative aminoglycoside O-phosphotransferase
MEG_1054|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	268	267	100.00	100.00	267	WP_032490182.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	268	267	100.00	100.00	267	WP_010890156.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032895.1	aminoglycoside O-phosphotransferase APH(3'')-Ib
MEG_1059|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	aphA16	APH(3') family aminoglycoside O-phosphotransferase AphA16	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	263	262	100.00	100.00	262	WP_004206941.1	APH(3') family aminoglycoside O-phosphotransferase AphA16	NF033112.0	APH(3') family aminoglycoside O-phosphotransferase AphA16
MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	185	184	100.00	100.00	184	WP_013250882.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF033059.2	APH(3')-I family aminoglycoside O-phosphotransferase
MEG_1063|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	aph(3')-VIb	aminoglycoside O-phosphotransferase APH(3')-VIb	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	260	259	100.00	100.00	259	WP_000422633.1	aminoglycoside O-phosphotransferase APH(3')-VIb	NF033062.0	APH(3')-VI family aminoglycoside O-phosphotransferase
